label,n_primes,n_ties,ratio,direction
mod4=1,74416,2,28.209479177387816,28.2x FEWER
mod4=3,74516,189,3.3499377782114252,3.3x MORE
mod8=1,37116,3,18.80631945159188,18.8x FEWER
mod8=3,37261,216,3.8285003179559145,3.8x MORE
mod8=5,37300,204,3.6158058558472526,3.6x MORE
mod8=7,37255,255,4.519757319809066,4.5x MORE
mod12=1,37180,2,28.209479177387816,28.2x FEWER
mod12=5,37236,272,4.821074474463003,4.8x MORE
mod12=7,37232,266,4.714727243408673,4.7x MORE
mod12=11,37283,152,2.694129853376384,2.7x MORE
mod6=5 (5-series),74519,327,5.795924092461037,5.8x MORE
mod6=1 (7-series),74412,2,28.209479177387816,28.2x FEWER
