q,r,gap1_D,ln_D1,gap2_D,ln_D2,gap3_D,near_140,near_184
4,1,18-19,41.4,33-34,76.0,40-41,,
4,3,35-36,80.6,44-45,101.3,51-52,,
6,1,31-32,71.4,38-39,87.5,45-46,,
6,5,29-30,66.8,38-39,87.5,45-46,,
8,1,14-15,32.2,21-22,48.4,26-27,,
8,3,13-14,29.9,22-23,50.7,29-30,,
8,5,18-19,41.4,27-28,62.2,32-33,,
8,7,21-22,48.4,28-29,64.5,33-34,,
10,1,13-14,29.9,22-23,50.7,27-28,,
10,3,17-18,39.1,24-25,55.3,29-30,,
10,7,20-21,46.1,25-26,57.6,32-33,,
10,9,18-19,41.4,23-24,53.0,30-31,,
12,1,16-17,36.8,23-24,53.0,28-29,,
12,5,11-12,25.3,22-23,50.7,27-28,,
12,7,20-21,46.1,27-28,62.2,32-33,,
12,11,16-17,36.8,23-24,53.0,28-29,,
30,1,9-10,20.7,16-17,36.8,21-22,,
30,7,11-12,25.3,16-17,36.8,21-22,,
30,11,11-12,25.3,16-17,36.8,21-22,,
30,13,9-10,20.7,16-17,36.8,21-22,,
30,17,7-8,16.1,14-15,32.2,19-20,,
30,19,5-6,11.5,12-13,27.6,17-18,,
30,23,9-10,20.7,14-15,32.2,19-20,,
30,29,7-8,16.1,14-15,32.2,17-18,,
