n,c,T_nat,shuffle_mean,shuffle_std,z,p_ge,n_distinct,band_window,is_band_window
10,1,5,2.4540,1.4276,1.7835,0.0780,6,12,False
10,2,5,2.4540,1.4276,1.7835,0.0780,6,35,False
10,3,5,2.4540,1.4276,1.7835,0.0780,6,50,False
15,1,7,4.0660,1.7241,1.7017,0.0820,8,12,False
15,2,7,4.0660,1.7241,1.7017,0.0820,8,35,False
15,3,7,4.0660,1.7241,1.7017,0.0820,8,50,False
20,1,9,3.9680,2.1949,2.2925,0.0180,11,12,False
20,2,9,3.9680,2.1949,2.2925,0.0180,11,35,False
20,3,9,3.9680,2.1949,2.2925,0.0180,11,50,False
25,1,11,3.8660,2.3903,2.9845,0.0050,13,12,False
25,2,11,3.8660,2.3903,2.9845,0.0050,13,35,False
25,3,11,3.8660,2.3903,2.9845,0.0050,13,50,False
30,1,12,5.0020,2.8305,2.4723,0.0120,15,12,False
30,2,12,5.0020,2.8305,2.4723,0.0120,15,35,False
30,3,12,5.0020,2.8305,2.4723,0.0120,15,50,False
33,1,14,6.2920,2.9607,2.6035,0.0070,15,12,False
33,2,14,6.2920,2.9607,2.6035,0.0070,15,35,False
33,3,14,6.2920,2.9607,2.6035,0.0070,15,50,False
35,1,14,4.9300,2.9308,3.0947,0.0000,14,12,False
35,2,14,4.9300,2.9308,3.0947,0.0000,14,35,True
35,3,14,4.9300,2.9308,3.0947,0.0000,14,50,False
40,1,14,6.3280,3.3415,2.2960,0.0150,18,12,False
40,2,14,6.3280,3.3415,2.2960,0.0150,18,35,False
40,3,14,6.3280,3.3415,2.2960,0.0150,18,50,False
45,1,16,5.6640,3.4396,3.0050,0.0040,19,12,False
45,2,16,5.6640,3.4396,3.0050,0.0040,19,35,False
45,3,16,5.6640,3.4396,3.0050,0.0040,19,50,False
50,1,16,5.6230,3.6601,2.8352,0.0070,18,12,False
50,2,16,5.6230,3.6601,2.8352,0.0070,18,35,False
50,3,16,5.6230,3.6601,2.8352,0.0070,18,50,True
60,1,16,7.6650,4.2822,1.9464,0.0360,23,12,False
60,2,16,7.6650,4.2822,1.9464,0.0360,23,35,False
60,3,16,7.6650,4.2822,1.9464,0.0360,23,50,False
70,1,21,8.5950,4.6113,2.6901,0.0080,25,12,False
70,2,21,8.5950,4.6113,2.6901,0.0080,25,35,False
70,3,21,8.5950,4.6113,2.6901,0.0080,25,50,False
80,1,26,9.1860,5.1007,3.2964,0.0030,27,12,False
80,2,26,9.1860,5.1007,3.2964,0.0030,27,35,False
80,3,26,9.1860,5.1007,3.2964,0.0030,27,50,False
90,1,29,9.8650,5.2595,3.6382,0.0000,27,12,False
90,2,29,9.8650,5.2595,3.6382,0.0000,27,35,False
90,3,29,9.8650,5.2595,3.6382,0.0000,27,50,False
100,1,29,10.5530,5.7996,3.1808,0.0020,30,12,False
100,2,29,10.5530,5.7996,3.1808,0.0020,30,35,False
100,3,29,10.5530,5.7996,3.1808,0.0020,30,50,False
