window_start,window_end,midpoint,ties,density,expected_density_rw
1,500,250.0,72,0.144,0.050462650440403205
501,1000,750.0,69,0.138,0.029134624815788775
1001,1500,1250.0,33,0.066,0.022567583341910252
1501,2000,1750.0,58,0.116,0.019073089080355845
2001,2500,2250.0,4,0.008,0.0168208834801344
2501,3000,2750.0,0,0.0,0.015215061585243647
3001,3500,3250.0,34,0.068,0.0139958210506684
3501,4000,3750.0,21,0.042,0.013029400317411198
4001,4500,4250.0,36,0.072,0.012238990465553174
4501,5000,4750.0,0,0.0,0.011576925983838728
5001,5500,5250.0,0,0.0,0.011011853114821158
5501,6000,5750.0,0,0.0,0.010522189988347658
6001,6500,6250.0,0,0.0,0.01009253008808064
6501,7000,6750.0,5,0.01,0.009711541605262925
7001,7500,7250.0,24,0.048,0.009370678938841028
7501,8000,7750.0,15,0.03,0.009063359573420183
8001,8500,8250.0,0,0.0,0.008784419901977153
8501,9000,8750.0,44,0.088,0.008529744744916924
9001,9500,9250.0,21,0.042,0.008296008629146529
9501,10000,9750.0,1,0.002,0.008080491051133232
10001,10500,10250.0,5,0.01,0.00788094195414749
10501,11000,10750.0,22,0.044,0.007695482047355471
11001,11500,11250.0,4,0.008,0.00752252778063675
11501,12000,11750.0,0,0.0,0.007360734077450638
12001,12500,12250.0,0,0.0,0.007208950062914743
12501,13000,12750.0,46,0.092,0.007066184439896388
13001,13500,13250.0,22,0.044,0.0069315781228393445
13501,14000,13750.0,29,0.058,0.006804382397290101
14001,14500,14250.0,44,0.088,0.0066839413331576635
14501,15000,14750.0,2,0.004,0.006569677506042084
15001,15500,15250.0,19,0.038,0.006461080315533605
15501,16000,15750.0,22,0.044,0.006357696360118614
16001,16500,16250.0,23,0.046,0.006259121454043414
16501,17000,16750.0,8,0.016,0.00616499396505052
17001,17500,17250.0,0,0.0,0.006074989222236906
17501,18000,17750.0,0,0.0,0.005988814796651849
18001,18500,18250.0,0,0.0,0.005906206498102114
18501,19000,18750.0,0,0.0,0.005826924963157755
19001,19500,19250.0,0,0.0,0.005750752733869552
19501,20000,19750.0,0,0.0,0.005677491745915694
20001,20500,20250.0,0,0.0,0.0056069611600448
20501,21000,20750.0,0,0.0,0.005538995482709279
21001,21500,21250.0,0,0.0,0.005473442931389739
21501,22000,21750.0,0,0.0,0.005410164007829424
22001,22500,22250.0,0,0.0,0.00534903024863294
22501,23000,22750.0,0,0.0,0.005289923127747331
23001,23500,23250.0,0,0.0,0.005232733089476514
23501,24000,23750.0,0,0.0,0.005177358694069405
24001,24500,24250.0,0,0.0,0.005123705860714172
24501,25000,24750.0,47,0.094,0.005071687195081215
25001,25500,25250.0,17,0.034,0.005021221390476767
25501,26000,25750.0,0,0.0,0.004972232693269954
26001,26500,26250.0,0,0.0,0.004924650424596581
26501,27000,26750.0,0,0.0,0.0048784085514693995
27001,27500,27250.0,0,0.0,0.00483344530137449
27501,28000,27750.0,0,0.0,0.004789702815237207
28001,28500,28250.0,35,0.07,0.004747126834323402
28501,29000,28750.0,27,0.054,0.004705666417222617
29001,29500,29250.0,4,0.008,0.004665273683556133
29501,30000,29750.0,0,0.0,0.0046259035814777616
30001,30500,30250.0,0,0.0,0.004587513676400291
30501,31000,30750.0,0,0.0,0.00455006395869487
31001,31500,31250.0,0,0.0,0.004513516668382051
31501,32000,31750.0,0,0.0,0.00447783613506817
32001,32500,32250.0,0,0.0,0.004442988631584614
32501,33000,32750.0,6,0.012,0.004408942239964819
33001,33500,33250.0,27,0.054,0.004375666728548434
33501,34000,33750.0,4,0.008,0.004343133439137066
34001,34500,34250.0,0,0.0,0.004311315183244255
34501,35000,34750.0,0,0.0,0.004280186146586011
35001,35500,35250.0,0,0.0,0.004249721801049378
35501,36000,35750.0,0,0.0,0.004219898823456797
36001,36500,36250.0,0,0.0,0.004190695020514826
36501,37000,36750.0,0,0.0,0.004162089259398397
37001,37500,37250.0,0,0.0,0.004134061403477252
37501,38000,37750.0,0,0.0,0.0041065922527403495
38001,38500,38250.0,0,0.0,0.004079663488517724
38501,39000,38750.0,0,0.0,0.004053257622138205
39001,39500,39250.0,0,0.0,0.004027357947196007
39501,40000,39750.0,0,0.0,0.004001948495130216
40001,40500,40250.0,0,0.0,0.00397701399384879
40501,41000,40750.0,0,0.0,0.003952539829153521
41001,41500,41250.0,0,0.0,0.0039285120087445904
41501,42000,41750.0,0,0.0,0.0039049171286032985
42001,42500,42250.0,0,0.0,0.003881742341569477
42501,43000,42750.0,0,0.0,0.0038589753279462424
43001,43500,43250.0,0,0.0,0.0038366042679793062
43501,44000,43750.0,0,0.0,0.0038146178160711687
44001,44500,44250.0,0,0.0,0.0037930050766024266
44501,45000,44750.0,23,0.046,0.0037717555812431286
45001,45500,45250.0,0,0.0,0.0037508592676468687
45501,46000,45750.0,39,0.078,0.003730306459429119
46001,46500,46250.0,5,0.01,0.0037100878473392963
46501,47000,46750.0,0,0.0,0.003690194471543367
47001,47500,47250.0,0,0.0,0.0036706177049403857
47501,48000,47750.0,4,0.008,0.0036513492374424194
48001,48500,48250.0,0,0.0,0.0036323810611527774
48501,49000,48750.0,0,0.0,0.003613705456382527
49001,49500,49250.0,0,0.0,0.0035953149784498178
49501,50000,49750.0,0,0.0,0.0035772024452107453
