n,prime,chi5,S_n,is_tie,gap_to_next_tie
1,5,0,0,True,2
2,11,1,1,False,
3,17,-1,0,True,2
4,23,-1,-1,False,
5,29,1,0,True,2
6,41,1,1,False,
7,47,-1,0,True,2
8,53,-1,-1,False,
9,59,1,0,True,2
10,71,1,1,False,
11,83,-1,0,True,4
12,89,1,1,False,
13,101,1,2,False,
14,107,-1,1,False,
15,113,-1,0,True,2
16,131,1,1,False,
17,137,-1,0,True,2
18,149,1,1,False,
19,167,-1,0,True,2
20,173,-1,-1,False,
21,179,1,0,True,2
22,191,1,1,False,
23,197,-1,0,True,4
24,227,-1,-1,False,
25,233,-1,-2,False,
26,239,1,-1,False,
27,251,1,0,True,4
28,257,-1,-1,False,
29,263,-1,-2,False,
30,269,1,-1,False,
31,281,1,0,True,2
32,293,-1,-1,False,
33,311,1,0,True,8
34,317,-1,-1,False,
35,347,-1,-2,False,
36,353,-1,-3,False,
37,359,1,-2,False,
38,383,-1,-3,False,
39,389,1,-2,False,
40,401,1,-1,False,
41,419,1,0,True,2
42,431,1,1,False,
43,443,-1,0,True,18
44,449,1,1,False,
45,461,1,2,False,
46,467,-1,1,False,
47,479,1,2,False,
48,491,1,3,False,
49,503,-1,2,False,
50,509,1,3,False,
51,521,1,4,False,
52,557,-1,3,False,
53,563,-1,2,False,
54,569,1,3,False,
55,587,-1,2,False,
56,593,-1,1,False,
57,599,1,2,False,
58,617,-1,1,False,
59,641,1,2,False,
60,647,-1,1,False,
61,653,-1,0,True,2
62,659,1,1,False,
63,677,-1,0,True,2
64,683,-1,-1,False,
65,701,1,0,True,2
66,719,1,1,False,
67,743,-1,0,True,2
68,761,1,1,False,
69,773,-1,0,True,2
70,797,-1,-1,False,
71,809,1,0,True,2
72,821,1,1,False,
73,827,-1,0,True,2
74,839,1,1,False,
75,857,-1,0,True,2
76,863,-1,-1,False,
77,881,1,0,True,2
78,887,-1,-1,False,
79,911,1,0,True,4
80,929,1,1,False,
81,941,1,2,False,
82,947,-1,1,False,
83,953,-1,0,True,2
84,971,1,1,False,
85,977,-1,0,True,4
86,983,-1,-1,False,
87,1013,-1,-2,False,
88,1019,1,-1,False,
89,1031,1,0,True,12
90,1049,1,1,False,
91,1061,1,2,False,
92,1091,1,3,False,
93,1097,-1,2,False,
94,1103,-1,1,False,
95,1109,1,2,False,
96,1151,1,3,False,
97,1163,-1,2,False,
98,1181,1,3,False,
99,1187,-1,2,False,
100,1193,-1,1,False,
101,1217,-1,0,True,2
102,1223,-1,-1,False,
103,1229,1,0,True,2
104,1259,1,1,False,
105,1277,-1,0,True,2
106,1283,-1,-1,False,
107,1289,1,0,True,2
108,1301,1,1,False,
109,1307,-1,0,True,4
110,1319,1,1,False,
111,1361,1,2,False,
112,1367,-1,1,False,
113,1373,-1,0,True,2
114,1409,1,1,False,
115,1427,-1,0,True,2
116,1433,-1,-1,False,
117,1439,1,0,True,4
118,1451,1,1,False,
119,1481,1,2,False,
120,1487,-1,1,False,
121,1493,-1,0,True,4
122,1499,1,1,False,
123,1511,1,2,False,
124,1523,-1,1,False,
125,1553,-1,0,True,6
126,1559,1,1,False,
127,1571,1,2,False,
128,1583,-1,1,False,
129,1601,1,2,False,
130,1607,-1,1,False,
131,1613,-1,0,True,2
132,1619,1,1,False,
133,1637,-1,0,True,4
134,1667,-1,-1,False,
135,1697,-1,-2,False,
136,1709,1,-1,False,
137,1721,1,0,True,26
138,1733,-1,-1,False,
139,1787,-1,-2,False,
