N,T_natural,E_random_walk,ratio_natural,T_bootstrap_mean,T_bootstrap_std,ratio_bootstrap_mean,ratio_bootstrap_std,ratio_95_lower,ratio_95_upper,z_natural_vs_boot,skewness,excess_kurtosis,B,seed_base
100,29,7.978846,3.634611,10.637300,5.643007,1.333188,0.707246,0.125331,2.882623,3.254063,0.437711,-0.149919,10000,42
200,44,11.283792,3.899398,12.625600,8.040229,1.118915,0.712547,0.088623,2.747303,3.902177,0.650812,0.128865,10000,42
500,72,17.841241,4.035594,26.010100,13.711688,1.457864,0.768539,0.224200,3.138795,3.354065,0.529538,0.013884,10000,42
1000,141,25.231325,5.588291,32.618000,19.279228,1.292758,0.764099,0.118900,3.012129,5.621698,0.607883,0.097746,10000,42
2000,232,35.682482,6.501790,54.253800,28.623894,1.520460,0.802183,0.252225,3.306945,6.209714,0.578793,0.073552,10000,42
5000,327,56.418958,5.795924,69.903900,43.193062,1.239014,0.765577,0.088623,2.959998,5.952255,0.662412,0.175822,10000,42
10000,437,79.788456,5.476983,113.980500,64.153049,1.428534,0.804039,0.175464,3.221017,5.035139,0.616058,0.167646,10000,42
20000,683,112.837917,6.052930,139.457100,87.649262,1.235906,0.776771,0.097485,3.004531,6.201340,0.708654,0.262465,10000,42
50000,921,178.412412,5.162197,264.625200,144.788888,1.483222,0.811540,0.218595,3.301340,4.533323,0.641449,0.255298,10000,42
100000,1190,252.313252,4.716359,387.321700,206.426539,1.535083,0.818136,0.249690,3.380817,3.888445,0.645616,0.296722,10000,42
200000,1663,356.824823,4.660550,541.820600,289.981588,1.518450,0.812672,0.229805,3.309747,3.866381,0.606089,0.137845,10000,42
500000,2924,564.189584,5.182655,783.428600,451.855046,1.388591,0.800892,0.141796,3.185144,4.737297,0.640129,0.197444,10000,42
