definition,n_window,L_effective,ordering,T,shuffle_mean,shuffle_std,shuffle_n_distinct,z,p_ge
A,20,20,natural,9,3.920000,2.215064,11,2.293388,0.025000
A,20,20,reversed_size,2,3.920000,2.215064,11,-0.866792,0.847000
A,20,20,every_other,5,3.920000,2.215064,11,0.487571,0.401000
A,20,20,index_interleaved,9,3.920000,2.215064,11,2.293388,0.025000
A,20,20,chi_clustered,1,3.920000,2.215064,11,-1.318247,0.945000
A,20,20,random_shuffle_baseline,,3.920000,2.215064,11,0.000000,
A,33,33,natural,14,6.412000,2.934428,15,2.585853,0.009000
A,33,33,reversed_size,14,6.412000,2.934428,15,2.585853,0.009000
A,33,33,every_other,10,6.412000,2.934428,15,1.222726,0.164000
A,33,33,index_interleaved,12,6.412000,2.934428,15,1.904289,0.048000
A,33,33,chi_clustered,2,6.412000,2.934428,15,-1.503530,0.974000
A,33,33,random_shuffle_baseline,,6.412000,2.934428,15,0.000000,
A,50,50,natural,16,5.435000,3.643219,20,2.899908,0.009000
A,50,50,reversed_size,1,5.435000,3.643219,20,-1.217330,0.943000
A,50,50,every_other,11,5.435000,3.643219,20,1.527495,0.104000
A,50,50,index_interleaved,8,5.435000,3.643219,20,0.704048,0.286000
A,50,50,chi_clustered,0,5.435000,3.643219,20,-1.491812,1.000000
A,50,50,random_shuffle_baseline,,5.435000,3.643219,20,0.000000,
A,70,70,natural,21,8.968000,4.662265,26,2.580720,0.013000
A,70,70,reversed_size,11,8.968000,4.662265,26,0.435840,0.354000
A,70,70,every_other,22,8.968000,4.662265,26,2.795208,0.006000
A,70,70,index_interleaved,7,8.968000,4.662265,26,-0.422112,0.686000
A,70,70,chi_clustered,1,8.968000,4.662265,26,-1.709041,0.991000
A,70,70,random_shuffle_baseline,,8.968000,4.662265,26,0.000000,
A,90,90,natural,29,10.093000,5.234668,28,3.611881,0.000000
A,90,90,reversed_size,22,10.093000,5.234668,28,2.274643,0.021000
A,90,90,every_other,28,10.093000,5.234668,28,3.420847,0.001000
A,90,90,index_interleaved,15,10.093000,5.234668,28,0.937404,0.203000
A,90,90,chi_clustered,0,10.093000,5.234668,28,-1.928107,1.000000
A,90,90,random_shuffle_baseline,,10.093000,5.234668,28,0.000000,
A,100,100,natural,29,10.455000,5.770552,31,3.213730,0.003000
A,100,100,reversed_size,24,10.455000,5.770552,31,2.347262,0.018000
A,100,100,every_other,21,10.455000,5.770552,31,1.827381,0.056000
A,100,100,index_interleaved,11,10.455000,5.770552,31,0.094445,0.463000
A,100,100,chi_clustered,0,10.455000,5.770552,31,-1.811785,1.000000
A,100,100,random_shuffle_baseline,,10.455000,5.770552,31,0.000000,
