definition,n_window,L_effective,ordering,T,shuffle_mean,shuffle_std,shuffle_n_distinct,z,p_ge
C,20,19,natural,8,3.672000,2.022995,10,2.139402,0.037000
C,20,19,reversed_size,2,3.672000,2.022995,10,-0.826497,0.845000
C,20,19,every_other,3,3.672000,2.022995,10,-0.332181,0.697000
C,20,19,index_interleaved,6,3.672000,2.022995,10,1.150769,0.190000
C,20,19,chi_clustered,1,3.672000,2.022995,10,-1.320814,0.953000
C,20,19,random_shuffle_baseline,,3.672000,2.022995,10,0.000000,
C,33,32,natural,13,6.185000,2.780019,14,2.451422,0.011000
C,33,32,reversed_size,13,6.185000,2.780019,14,2.451422,0.011000
C,33,32,every_other,5,6.185000,2.780019,14,-0.426256,0.695000
C,33,32,index_interleaved,11,6.185000,2.780019,14,1.732003,0.064000
C,33,32,chi_clustered,1,6.185000,2.780019,14,-1.865095,1.000000
C,33,32,random_shuffle_baseline,,6.185000,2.780019,14,0.000000,
C,50,49,natural,15,5.459000,3.463859,18,2.754443,0.007000
C,50,49,reversed_size,1,5.459000,3.463859,18,-1.287293,0.934000
C,50,49,every_other,9,5.459000,3.463859,18,1.022270,0.197000
C,50,49,index_interleaved,10,5.459000,3.463859,18,1.310966,0.136000
C,50,49,chi_clustered,0,5.459000,3.463859,18,-1.575988,1.000000
C,50,49,random_shuffle_baseline,,5.459000,3.463859,18,0.000000,
C,70,69,natural,20,8.103000,4.397241,23,2.705560,0.010000
C,70,69,reversed_size,11,8.103000,4.397241,23,0.658822,0.276000
C,70,69,every_other,15,8.103000,4.397241,23,1.568484,0.088000
C,70,69,index_interleaved,4,8.103000,4.397241,23,-0.933085,0.847000
C,70,69,chi_clustered,1,8.103000,4.397241,23,-1.615331,0.984000
C,70,69,random_shuffle_baseline,,8.103000,4.397241,23,0.000000,
C,90,89,natural,28,10.031000,5.399370,29,3.327981,0.001000
C,90,89,reversed_size,22,10.031000,5.399370,29,2.216740,0.027000
C,90,89,every_other,13,10.031000,5.399370,29,0.549879,0.289000
C,90,89,index_interleaved,12,10.031000,5.399370,29,0.364672,0.353000
C,90,89,chi_clustered,0,10.031000,5.399370,29,-1.857809,1.000000
C,90,89,random_shuffle_baseline,,10.031000,5.399370,29,0.000000,
C,100,99,natural,28,10.458000,5.699186,32,3.077984,0.004000
C,100,99,reversed_size,24,10.458000,5.699186,32,2.376129,0.020000
C,100,99,every_other,8,10.458000,5.699186,32,-0.431290,0.652000
C,100,99,index_interleaved,7,10.458000,5.699186,32,-0.606753,0.719000
C,100,99,chi_clustered,0,10.458000,5.699186,32,-1.834999,1.000000
C,100,99,random_shuffle_baseline,,10.458000,5.699186,32,0.000000,
