cluster_id,d_range,classification,n_5_star,n_7_star,lift5_chosen,lift7_chosen,req_div_5_chosen,req_div_7_chosen,lift5_alt_a,lift7_alt_a,req_div_5_alt_a,req_div_7_alt_a,lift5_alt_b,lift7_alt_b,req_div_5_alt_b,req_div_7_alt_b
C_3,"(91,94)",partial-coincident,42,42,9,3,3,3,4,2,2,2,6,30,6,30
C_4,"(96,97)",coincident,44,43,3,15,3,15,2,10,2,10,6,30,6,30
C_5,"(99,102)",partial-coincident,45,45,9,3,3,3,4,2,2,2,6,30,6,30
C_6,"(104,105)",coincident,47,46,3,15,3,15,2,10,2,10,6,30,6,30
C_7,"(107,108)",coincident,48,47,9,15,3,15,4,10,2,10,6,30,6,30
C_8,"(110,110)",coincident,49,48,9,15,3,15,8,10,2,10,12,30,6,30
C_9,"(112,113)",coincident,50,49,3,15,3,15,2,10,2,10,6,30,6,30
C_10,"(115,116)",coincident,51,50,3,15,3,15,4,10,2,10,6,30,6,30
C_11,"(118,119)",coincident,52,51,9,15,3,15,6,10,2,10,6,30,6,30
C_12,"(121,121)",coincident,53,52,9,15,3,15,12,10,2,10,12,30,6,30
C_13,"(123,124)",coincident,54,53,3,15,3,15,2,10,2,10,6,30,6,30
C_14,"(126,127)",coincident,55,54,3,15,3,15,4,10,2,10,6,30,6,30
C_15,"(129,130)",coincident,56,55,9,15,3,15,6,10,2,10,6,30,6,30
C_16,"(132,135)",partial-coincident,58,56,3,9,3,3,2,6,2,2,6,30,6,30
C_17,"(137,138)",coincident,59,58,3,15,3,15,2,10,2,10,6,30,6,30
C_18,"(140,141)",coincident,60,59,3,15,3,15,4,10,2,10,6,30,6,30
C_19,"(143,144)",coincident,61,60,9,15,3,15,6,10,2,10,6,30,6,30
C_20,"(146,147)",coincident,62,61,9,15,3,15,8,10,2,10,12,30,6,30
C_21,"(149,158)",partial-coincident,64,62,3,9,3,3,2,6,2,2,6,30,6,30
C_22,"(160,161)",coincident,67,66,9,15,3,15,4,10,2,10,6,30,6,30
C_23,"(163,164)",coincident,68,67,9,15,3,15,6,10,2,10,6,30,6,30
C_24,"(166,167)",coincident,69,68,9,15,3,15,8,10,2,10,12,30,6,30
C_25,"(169,170)",coincident,70,69,9,15,3,15,12,10,2,10,12,30,6,30
