cluster_id,d_range,classification,n_7_star,D_7_at_n_star,lift7_chosen,req_div_7_chosen,lift7_alt_c,req_div_7_alt_c,lift7_alt_d,req_div_7_alt_d
C_3,"(91,94)",partial-coincident,42,92,3,3,3,3,15,15
C_4,"(96,97)",coincident,43,95,15,15,9,3,15,15
C_5,"(99,102)",partial-coincident,45,100,3,3,3,3,15,15
C_6,"(104,105)",coincident,46,103,15,15,3,3,15,15
C_7,"(107,108)",coincident,47,106,15,15,9,3,15,15
C_8,"(110,110)",coincident,48,109,15,15,9,3,15,15
C_9,"(112,113)",coincident,49,111,15,15,3,3,15,15
C_10,"(115,116)",coincident,50,114,15,15,3,3,15,15
C_11,"(118,119)",coincident,51,117,15,15,9,3,15,15
C_12,"(121,121)",coincident,52,120,15,15,9,3,15,15
C_13,"(123,124)",coincident,53,122,15,15,3,3,15,15
C_14,"(126,127)",coincident,54,125,15,15,3,3,15,15
C_15,"(129,130)",coincident,55,128,15,15,9,3,15,15
C_16,"(132,135)",partial-coincident,56,131,9,3,9,3,15,15
C_17,"(137,138)",coincident,58,136,15,15,3,3,15,15
C_18,"(140,141)",coincident,59,139,15,15,3,3,15,15
C_19,"(143,144)",coincident,60,142,15,15,3,3,15,15
C_20,"(146,147)",coincident,61,145,15,15,3,3,15,15
C_21,"(149,158)",partial-coincident,62,148,9,3,9,3,15,15
C_22,"(160,161)",coincident,66,159,15,15,3,3,15,15
C_23,"(163,164)",coincident,67,162,15,15,3,3,15,15
C_24,"(166,167)",coincident,68,165,15,15,3,3,15,15
C_25,"(169,170)",coincident,69,168,15,15,3,3,15,15
