D,cumulative_skipped,instant_window_lo,instant_window_hi,instant_fraction
60,0,60,60,0
70,8,60,70,0.8
80,15,70,80,0.7
90,23,80,90,0.8
100,30,90,100,0.7
110,37,100,110,0.7
120,44,110,120,0.7
130,50,120,130,0.6
140,57,130,140,0.7
150,64,140,150,0.7
160,73,150,160,0.9
170,80,160,170,0.7
180,89,170,180,0.9
190,99,180,190,1.0
200,109,190,200,1.0
210,119,200,210,1.0
220,129,210,220,1.0
230,139,220,230,1.0
240,149,230,240,1.0
250,159,240,250,1.0
260,169,250,260,1.0
270,179,260,270,1.0
280,189,270,280,1.0
290,199,280,290,1.0
300,209,290,300,1.0
310,219,300,310,1.0
320,229,310,320,1.0
330,239,320,330,1.0
340,249,330,340,1.0
350,259,340,350,1.0
360,269,350,360,1.0
370,279,360,370,1.0
380,289,370,380,1.0
390,299,380,390,1.0
400,309,390,400,1.0
410,319,400,410,1.0
420,329,410,420,1.0
430,339,420,430,1.0
440,349,430,440,1.0
450,359,440,450,1.0
460,369,450,460,1.0
470,379,460,470,1.0
480,389,470,480,1.0
490,398,480,490,0.9
500,408,490,500,1.0
510,418,500,510,1.0
520,428,510,520,1.0
530,438,520,530,1.0
540,447,530,540,0.9
550,456,540,550,0.9
560,465,550,560,0.9
570,473,560,570,0.8
580,482,570,580,0.9
590,491,580,590,0.9
600,499,590,600,0.8
610,507,600,610,0.8
620,516,610,620,0.9
630,525,620,630,0.9
640,533,630,640,0.8
650,540,640,650,0.7
660,547,650,660,0.7
670,554,660,670,0.7
680,561,670,680,0.7
690,568,680,690,0.7
700,576,690,700,0.8
710,583,700,710,0.7
720,592,710,720,0.9
730,600,720,730,0.8
740,608,730,740,0.8
750,616,740,750,0.8
760,625,750,760,0.9
770,633,760,770,0.8
780,641,770,780,0.8
790,650,780,790,0.9
800,658,790,800,0.8
810,667,800,810,0.9
820,675,810,820,0.8
830,683,820,830,0.8
840,692,830,840,0.9
850,700,840,850,0.8
860,709,850,860,0.9
870,717,860,870,0.8
880,726,870,880,0.9
890,734,880,890,0.8
900,744,890,900,1.0
910,753,900,910,0.9
920,761,910,920,0.8
930,770,920,930,0.9
940,780,930,940,1.0
950,789,940,950,0.9
960,798,950,960,0.9
970,808,960,970,1.0
980,818,970,980,1.0
990,828,980,990,1.0
1000,838,990,1000,1.0
