bin_lo,bin_hi,bin_width,midpoint,n_skipped,skip_fraction,n_clusters_starting,mean_cluster_width
60,100,40,80.0,30,0.75,11,3.0
100,200,100,150.0,79,0.79,21,17.095238095238095
200,300,100,250.0,100,1.0,0,nan
300,400,100,350.0,100,1.0,0,nan
400,500,100,450.0,99,0.99,1,53.0
500,600,100,550.0,91,0.91,8,6.75
600,700,100,650.0,77,0.77,24,3.2083333333333335
700,800,100,750.0,82,0.82,17,4.823529411764706
800,900,100,850.0,86,0.86,15,5.733333333333333
900,1000,100,950.0,94,0.94,6,135.33333333333334
1000,1100,100,1050.0,100,1.0,0,nan
1100,1200,100,1150.0,100,1.0,0,nan
1200,1300,100,1250.0,100,1.0,0,nan
1300,1400,100,1350.0,100,1.0,0,nan
1400,1500,100,1450.0,100,1.0,0,nan
1500,1600,100,1550.0,100,1.0,0,nan
1600,1700,100,1650.0,100,1.0,0,nan
1700,1800,100,1750.0,96,0.96,4,20.5
1800,1900,100,1850.0,85,0.85,15,7.133333333333334
1900,2000,100,1950.0,84,0.84,16,5.9375
2000,2100,100,2050.0,84,0.84,16,3.0
2100,2200,100,2150.0,75,0.75,25,3.0
2200,2300,100,2250.0,77,0.77,23,3.391304347826087
2300,2400,100,2350.0,78,0.78,22,3.9545454545454546
2400,2500,100,2450.0,83,0.83,17,4.235294117647059
2500,2600,100,2550.0,87,0.87,13,6.846153846153846
2600,2700,100,2650.0,90,0.9,10,8.8
2700,2800,100,2750.0,97,0.97,3,36.0
2800,2900,100,2850.0,99,0.99,1,929.0
2900,3000,100,2950.0,100,1.0,0,nan
3000,3100,100,3050.0,100,1.0,0,nan
3100,3200,100,3150.0,100,1.0,0,nan
3200,3300,100,3250.0,100,1.0,0,nan
3300,3400,100,3350.0,100,1.0,0,nan
3400,3500,100,3450.0,100,1.0,0,nan
3500,3600,100,3550.0,100,1.0,0,nan
