bin_lo,bin_hi,bin_width,midpoint,n_skipped,skip_fraction,n_clusters_starting,mean_cluster_width
60,100,40,80.0,30,0.75,11,3.0
100,200,100,150.0,79,0.79,21,17.095238095238095
200,300,100,250.0,100,1.0,0,nan
300,400,100,350.0,100,1.0,0,nan
400,500,100,450.0,99,0.99,1,53.0
500,600,100,550.0,91,0.91,8,6.75
600,700,100,650.0,77,0.77,24,3.2083333333333335
700,800,100,750.0,82,0.82,17,4.823529411764706
800,900,100,850.0,86,0.86,15,5.733333333333333
900,1000,100,950.0,94,0.94,6,135.33333333333334
1000,1100,100,1050.0,100,1.0,0,nan
1100,1200,100,1150.0,100,1.0,0,nan
1200,1300,100,1250.0,100,1.0,0,nan
1300,1400,100,1350.0,100,1.0,0,nan
1400,1500,100,1450.0,100,1.0,0,nan
1500,1600,100,1550.0,100,1.0,0,nan
1600,1700,100,1650.0,100,1.0,0,nan
1700,1800,100,1750.0,96,0.96,4,20.5
1800,1900,100,1850.0,85,0.85,15,7.133333333333334
1900,2000,100,1950.0,84,0.84,16,5.9375
2000,2100,100,2050.0,84,0.84,16,3.0
2100,2200,100,2150.0,75,0.75,25,3.0
2200,2300,100,2250.0,77,0.77,23,3.391304347826087
2300,2400,100,2350.0,78,0.78,22,3.9545454545454546
2400,2500,100,2450.0,83,0.83,17,4.235294117647059
2500,2600,100,2550.0,87,0.87,13,6.846153846153846
2600,2700,100,2650.0,90,0.9,10,8.8
2700,2800,100,2750.0,97,0.97,3,36.0
2800,2900,100,2850.0,99,0.99,1,1420.0
2900,3000,100,2950.0,100,1.0,0,nan
3000,3100,100,3050.0,100,1.0,0,nan
3100,3200,100,3150.0,100,1.0,0,nan
3200,3300,100,3250.0,100,1.0,0,nan
3300,3400,100,3350.0,100,1.0,0,nan
3400,3500,100,3450.0,100,1.0,0,nan
3500,3600,100,3550.0,100,1.0,0,nan
3600,3700,100,3650.0,100,1.0,0,nan
3700,3800,100,3750.0,100,1.0,0,nan
3800,3900,100,3850.0,100,1.0,0,nan
3900,4000,100,3950.0,100,1.0,0,nan
4000,4100,100,4050.0,100,1.0,0,nan
4100,4200,100,4150.0,100,1.0,0,nan
4200,4300,100,4250.0,98,0.98,2,42.0
4300,4400,100,4350.0,97,0.97,3,32.0
4400,4500,100,4450.0,96,0.96,3,26.333333333333332
4500,4600,100,4550.0,93,0.93,8,12.0
4600,4700,100,4650.0,92,0.92,8,12.0
4700,4800,100,4750.0,92,0.92,8,11.5
4800,4900,100,4850.0,90,0.9,10,9.0
4900,5000,100,4950.0,90,0.9,10,8.6
5000,5100,100,5050.0,83,0.83,16,5.0
5100,5200,100,5150.0,83,0.83,18,4.611111111111111
5200,5300,100,5250.0,78,0.78,22,3.590909090909091
5300,5400,100,5350.0,80,0.8,20,4.05
5400,5500,100,5450.0,82,0.82,18,4.611111111111111
5500,5600,100,5550.0,86,0.86,14,5.928571428571429
5600,5700,100,5650.0,86,0.86,14,6.571428571428571
5700,5800,100,5750.0,90,0.9,9,9.333333333333334
5800,5900,100,5850.0,93,0.93,8,11.75
5900,6000,100,5950.0,97,0.97,3,36.0
6000,6100,100,6050.0,99,0.99,1,2306.0
6100,6200,100,6150.0,100,1.0,0,nan
6200,6300,100,6250.0,100,1.0,0,nan
6300,6400,100,6350.0,100,1.0,0,nan
6400,6500,100,6450.0,100,1.0,0,nan
6500,6600,100,6550.0,100,1.0,0,nan
6600,6700,100,6650.0,100,1.0,0,nan
6700,6800,100,6750.0,100,1.0,0,nan
6800,6900,100,6850.0,100,1.0,0,nan
6900,7000,100,6950.0,100,1.0,0,nan
7000,7100,100,7050.0,100,1.0,0,nan
7100,7200,100,7150.0,100,1.0,0,nan
7200,7300,100,7250.0,100,1.0,0,nan
7300,7400,100,7350.0,100,1.0,0,nan
7400,7500,100,7450.0,100,1.0,0,nan
7500,7600,100,7550.0,100,1.0,0,nan
7600,7700,100,7650.0,100,1.0,0,nan
7700,7800,100,7750.0,100,1.0,0,nan
7800,7900,100,7850.0,100,1.0,0,nan
7900,8000,100,7950.0,100,1.0,0,nan
8000,8100,100,8050.0,100,1.0,0,nan
8100,8200,100,8150.0,100,1.0,0,nan
8200,8300,100,8250.0,100,1.0,0,nan
8300,8400,100,8350.0,98,0.98,2,49.5
8400,8500,100,8450.0,97,0.97,3,32.666666666666664
8500,8600,100,8550.0,96,0.96,4,22.0
8600,8700,100,8650.0,95,0.95,5,17.4
8700,8800,100,8750.0,92,0.92,8,11.125
8800,8900,100,8850.0,90,0.9,10,9.6
