n,S_5_n,source,regime,percentile_rank,tail
506,-1,evaluation,2,0.272500,central
1116,3,evaluation,3,0.539500,central
2034,3,evaluation,4,0.539500,central
3458,-1,evaluation,5,0.272500,central
201,-4,baseline,,,
202,-3,baseline,,,
203,-2,baseline,,,
207,-2,baseline,,,
209,-2,baseline,,,
210,-3,baseline,,,
217,-2,baseline,,,
219,-4,baseline,,,
220,-3,baseline,,,
223,-2,baseline,,,
224,-1,baseline,,,
225,-2,baseline,,,
226,-1,baseline,,,
229,-2,baseline,,,
231,-2,baseline,,,
232,-1,baseline,,,
245,2,baseline,,,
246,3,baseline,,,
254,1,baseline,,,
258,1,baseline,,,
259,0,baseline,,,
261,2,baseline,,,
262,3,baseline,,,
263,2,baseline,,,
264,3,baseline,,,
269,2,baseline,,,
277,2,baseline,,,
281,2,baseline,,,
285,4,baseline,,,
289,2,baseline,,,
290,3,baseline,,,
296,5,baseline,,,
297,4,baseline,,,
302,5,baseline,,,
309,6,baseline,,,
319,0,baseline,,,
328,-1,baseline,,,
334,1,baseline,,,
335,0,baseline,,,
337,-2,baseline,,,
338,-3,baseline,,,
343,2,baseline,,,
352,3,baseline,,,
359,2,baseline,,,
363,2,baseline,,,
365,2,baseline,,,
366,3,baseline,,,
374,3,baseline,,,
378,5,baseline,,,
379,4,baseline,,,
385,4,baseline,,,
388,3,baseline,,,
390,3,baseline,,,
393,2,baseline,,,
399,4,baseline,,,
401,2,baseline,,,
402,3,baseline,,,
403,4,baseline,,,
406,3,baseline,,,
409,0,baseline,,,
420,-1,baseline,,,
421,0,baseline,,,
431,6,baseline,,,
441,10,baseline,,,
450,7,baseline,,,
451,8,baseline,,,
560,-7,baseline,,,
561,-8,baseline,,,
564,-5,baseline,,,
568,-3,baseline,,,
571,-4,baseline,,,
573,-2,baseline,,,
584,-3,baseline,,,
589,-2,baseline,,,
595,-2,baseline,,,
602,-1,baseline,,,
604,-1,baseline,,,
607,0,baseline,,,
609,-2,baseline,,,
611,0,baseline,,,
614,-3,baseline,,,
616,-1,baseline,,,
617,-2,baseline,,,
618,-3,baseline,,,
619,-2,baseline,,,
620,-3,baseline,,,
622,-1,baseline,,,
631,0,baseline,,,
636,-1,baseline,,,
641,0,baseline,,,
642,-1,baseline,,,
649,-4,baseline,,,
651,-2,baseline,,,
654,-1,baseline,,,
658,-1,baseline,,,
659,0,baseline,,,
664,1,baseline,,,
666,1,baseline,,,
668,1,baseline,,,
669,0,baseline,,,
670,1,baseline,,,
672,1,baseline,,,
674,-1,baseline,,,
676,-1,baseline,,,
677,-2,baseline,,,
685,-4,baseline,,,
686,-5,baseline,,,
691,-2,baseline,,,
693,0,baseline,,,
696,-1,baseline,,,
697,-2,baseline,,,
703,2,baseline,,,
707,2,baseline,,,
708,1,baseline,,,
712,1,baseline,,,
715,0,baseline,,,
717,-2,baseline,,,
718,-3,baseline,,,
721,-4,baseline,,,
723,-2,baseline,,,
733,0,baseline,,,
734,1,baseline,,,
735,2,baseline,,,
744,1,baseline,,,
747,0,baseline,,,
748,1,baseline,,,
749,0,baseline,,,
750,-1,baseline,,,
751,-2,baseline,,,
753,0,baseline,,,
754,-1,baseline,,,
757,-2,baseline,,,
762,-1,baseline,,,
763,0,baseline,,,
764,1,baseline,,,
766,1,baseline,,,
770,3,baseline,,,
772,3,baseline,,,
778,3,baseline,,,
782,1,baseline,,,
783,0,baseline,,,
784,1,baseline,,,
792,-1,baseline,,,
800,-1,baseline,,,
801,0,baseline,,,
804,-1,baseline,,,
805,0,baseline,,,
806,-1,baseline,,,
808,-1,baseline,,,
810,-3,baseline,,,
818,1,baseline,,,
820,1,baseline,,,
821,0,baseline,,,
827,4,baseline,,,
832,3,baseline,,,
837,2,baseline,,,
839,2,baseline,,,
847,-2,baseline,,,
848,-1,baseline,,,
851,-2,baseline,,,
852,-1,baseline,,,
859,-2,baseline,,,
860,-1,baseline,,,
866,-1,baseline,,,
867,0,baseline,,,
876,-1,baseline,,,
878,-1,baseline,,,
879,-2,baseline,,,
880,-3,baseline,,,
882,-1,baseline,,,
883,-2,baseline,,,
889,-2,baseline,,,
892,-3,baseline,,,
896,-3,baseline,,,
897,-2,baseline,,,
899,-4,baseline,,,
901,-6,baseline,,,
903,-6,baseline,,,
904,-5,baseline,,,
907,-4,baseline,,,
908,-5,baseline,,,
910,-5,baseline,,,
913,-6,baseline,,,
916,-9,baseline,,,
922,-5,baseline,,,
924,-5,baseline,,,
927,-4,baseline,,,
932,-5,baseline,,,
934,-5,baseline,,,
936,-5,baseline,,,
943,-4,baseline,,,
944,-5,baseline,,,
945,-4,baseline,,,
946,-5,baseline,,,
949,-6,baseline,,,
950,-7,baseline,,,
955,-10,baseline,,,
963,-6,baseline,,,
965,-6,baseline,,,
968,-7,baseline,,,
970,-9,baseline,,,
971,-8,baseline,,,
976,-5,baseline,,,
979,-8,baseline,,,
983,-6,baseline,,,
984,-7,baseline,,,
986,-5,baseline,,,
988,-5,baseline,,,
991,-4,baseline,,,
1008,-7,baseline,,,
1019,-8,baseline,,,
1023,-8,baseline,,,
1025,-8,baseline,,,
1026,-9,baseline,,,
1027,-8,baseline,,,
1028,-9,baseline,,,
1035,-8,baseline,,,
1036,-7,baseline,,,
1037,-8,baseline,,,
1039,-8,baseline,,,
1042,-7,baseline,,,
1047,-4,baseline,,,
1049,-4,baseline,,,
1053,-4,baseline,,,
1057,-2,baseline,,,
1059,-2,baseline,,,
1063,-2,baseline,,,
1064,-1,baseline,,,
1065,-2,baseline,,,
1167,2,baseline,,,
1171,0,baseline,,,
1177,2,baseline,,,
1178,1,baseline,,,
1179,2,baseline,,,
1183,2,baseline,,,
1184,1,baseline,,,
1187,2,baseline,,,
1191,4,baseline,,,
1194,3,baseline,,,
1195,4,baseline,,,
1197,6,baseline,,,
1203,4,baseline,,,
1206,3,baseline,,,
1209,2,baseline,,,
1210,3,baseline,,,
1213,2,baseline,,,
1215,2,baseline,,,
1220,1,baseline,,,
1222,1,baseline,,,
1230,-1,baseline,,,
1239,-2,baseline,,,
1241,-4,baseline,,,
1242,-3,baseline,,,
1248,-3,baseline,,,
1250,-3,baseline,,,
1253,-4,baseline,,,
1256,-5,baseline,,,
1257,-6,baseline,,,
1274,-1,baseline,,,
1282,1,baseline,,,
1286,1,baseline,,,
1291,0,baseline,,,
1292,-1,baseline,,,
1296,-1,baseline,,,
1297,-2,baseline,,,
1298,-3,baseline,,,
1299,-2,baseline,,,
1302,-3,baseline,,,
1307,2,baseline,,,
1309,2,baseline,,,
1312,1,baseline,,,
1313,0,baseline,,,
1314,1,baseline,,,
1316,1,baseline,,,
1318,1,baseline,,,
1324,1,baseline,,,
1325,2,baseline,,,
1327,0,baseline,,,
1329,0,baseline,,,
1336,-1,baseline,,,
1350,-1,baseline,,,
1352,-3,baseline,,,
1357,-2,baseline,,,
1358,-1,baseline,,,
1365,0,baseline,,,
1368,-1,baseline,,,
1371,-2,baseline,,,
1375,-2,baseline,,,
1378,-3,baseline,,,
1387,-2,baseline,,,
1407,-8,baseline,,,
1419,-6,baseline,,,
1425,-10,baseline,,,
1426,-11,baseline,,,
1430,-11,baseline,,,
1441,-8,baseline,,,
1443,-8,baseline,,,
1444,-9,baseline,,,
1447,-10,baseline,,,
1448,-9,baseline,,,
1449,-8,baseline,,,
1465,-8,baseline,,,
1471,-10,baseline,,,
1473,-10,baseline,,,
1478,-11,baseline,,,
1485,-10,baseline,,,
1487,-8,baseline,,,
1488,-7,baseline,,,
1492,-7,baseline,,,
1493,-6,baseline,,,
1498,-7,baseline,,,
1505,-8,baseline,,,
1506,-7,baseline,,,
1508,-5,baseline,,,
1510,-5,baseline,,,
1511,-6,baseline,,,
1512,-5,baseline,,,
1513,-4,baseline,,,
1515,-4,baseline,,,
1517,-2,baseline,,,
1537,-4,baseline,,,
1544,-3,baseline,,,
1546,-3,baseline,,,
1549,-2,baseline,,,
1552,-1,baseline,,,
1554,-1,baseline,,,
1562,-1,baseline,,,
1564,-1,baseline,,,
1566,-1,baseline,,,
1568,-1,baseline,,,
1570,-1,baseline,,,
1573,0,baseline,,,
1574,1,baseline,,,
1575,2,baseline,,,
1579,0,baseline,,,
1581,0,baseline,,,
1583,2,baseline,,,
1587,6,baseline,,,
1588,7,baseline,,,
1589,6,baseline,,,
1594,3,baseline,,,
1595,2,baseline,,,
1603,-2,baseline,,,
1604,-1,baseline,,,
1605,-2,baseline,,,
1606,-3,baseline,,,
1610,-1,baseline,,,
1611,-2,baseline,,,
1616,-3,baseline,,,
1618,-5,baseline,,,
1622,-7,baseline,,,
1630,-7,baseline,,,
1631,-6,baseline,,,
1635,-4,baseline,,,
1636,-5,baseline,,,
1638,-3,baseline,,,
1639,-2,baseline,,,
1641,-2,baseline,,,
1642,-3,baseline,,,
1647,-4,baseline,,,
1650,-5,baseline,,,
1654,-3,baseline,,,
1657,-2,baseline,,,
1658,-1,baseline,,,
1659,-2,baseline,,,
1663,-2,baseline,,,
1667,-6,baseline,,,
1668,-5,baseline,,,
1671,-2,baseline,,,
1685,4,baseline,,,
1687,4,baseline,,,
1697,2,baseline,,,
1700,3,baseline,,,
1701,4,baseline,,,
1703,4,baseline,,,
1704,5,baseline,,,
1705,4,baseline,,,
1712,3,baseline,,,
1715,4,baseline,,,
1718,3,baseline,,,
1720,3,baseline,,,
1722,1,baseline,,,
1723,0,baseline,,,
1727,0,baseline,,,
1728,1,baseline,,,
1729,0,baseline,,,
1732,1,baseline,,,
1742,-1,baseline,,,
1745,0,baseline,,,
1752,3,baseline,,,
1754,3,baseline,,,
1758,3,baseline,,,
1760,3,baseline,,,
1761,4,baseline,,,
1764,1,baseline,,,
1767,0,baseline,,,
1776,3,baseline,,,
1780,1,baseline,,,
1783,2,baseline,,,
1787,0,baseline,,,
1791,4,baseline,,,
1793,2,baseline,,,
1796,3,baseline,,,
1799,2,baseline,,,
1800,1,baseline,,,
1801,0,baseline,,,
1802,1,baseline,,,
1803,2,baseline,,,
1808,1,baseline,,,
1813,0,baseline,,,
1815,2,baseline,,,
1816,1,baseline,,,
1820,-1,baseline,,,
1822,-1,baseline,,,
1825,0,baseline,,,
1830,-3,baseline,,,
1832,-1,baseline,,,
1835,0,baseline,,,
1837,0,baseline,,,
1842,-1,baseline,,,
1844,-1,baseline,,,
1854,-1,baseline,,,
1856,-1,baseline,,,
1863,-2,baseline,,,
1869,-2,baseline,,,
1875,-2,baseline,,,
1876,-3,baseline,,,
1879,0,baseline,,,
1885,4,baseline,,,
1886,3,baseline,,,
1893,6,baseline,,,
1896,7,baseline,,,
1898,7,baseline,,,
1899,8,baseline,,,
1904,5,baseline,,,
1907,2,baseline,,,
1912,1,baseline,,,
1918,3,baseline,,,
1921,2,baseline,,,
1929,2,baseline,,,
1930,1,baseline,,,
1931,2,baseline,,,
1945,4,baseline,,,
1946,3,baseline,,,
1947,4,baseline,,,
1948,3,baseline,,,
1952,1,baseline,,,
1955,2,baseline,,,
1976,3,baseline,,,
2085,4,baseline,,,
2086,3,baseline,,,
2090,5,baseline,,,
2093,6,baseline,,,
2095,8,baseline,,,
2103,14,baseline,,,
2105,12,baseline,,,
2111,12,baseline,,,
2113,12,baseline,,,
2114,13,baseline,,,
2115,12,baseline,,,
2116,11,baseline,,,
2126,9,baseline,,,
2128,9,baseline,,,
2129,8,baseline,,,
2131,6,baseline,,,
2134,9,baseline,,,
2143,6,baseline,,,
2148,5,baseline,,,
2152,5,baseline,,,
2153,6,baseline,,,
2154,7,baseline,,,
2158,7,baseline,,,
2159,6,baseline,,,
2161,6,baseline,,,
2162,7,baseline,,,
2170,5,baseline,,,
2173,6,baseline,,,
2181,4,baseline,,,
2184,5,baseline,,,
2185,6,baseline,,,
2198,9,baseline,,,
2200,7,baseline,,,
2203,8,baseline,,,
2204,9,baseline,,,
2205,8,baseline,,,
2207,8,baseline,,,
2209,8,baseline,,,
2210,9,baseline,,,
2211,10,baseline,,,
2212,11,baseline,,,
2213,10,baseline,,,
2214,11,baseline,,,
2215,12,baseline,,,
2220,11,baseline,,,
2221,12,baseline,,,
2222,11,baseline,,,
2223,12,baseline,,,
2226,9,baseline,,,
2227,10,baseline,,,
2229,8,baseline,,,
2231,10,baseline,,,
2244,9,baseline,,,
2249,8,baseline,,,
2252,9,baseline,,,
2257,8,baseline,,,
2262,7,baseline,,,
2263,6,baseline,,,
2266,5,baseline,,,
2275,6,baseline,,,
2276,5,baseline,,,
2281,4,baseline,,,
2285,6,baseline,,,
2295,4,baseline,,,
2302,3,baseline,,,
2303,4,baseline,,,
2305,6,baseline,,,
2310,7,baseline,,,
2317,6,baseline,,,
2318,5,baseline,,,
2319,6,baseline,,,
2320,5,baseline,,,
2325,6,baseline,,,
2326,7,baseline,,,
2333,8,baseline,,,
2339,10,baseline,,,
2341,10,baseline,,,
2343,10,baseline,,,
2357,10,baseline,,,
2358,9,baseline,,,
2360,7,baseline,,,
2363,6,baseline,,,
2367,8,baseline,,,
2370,7,baseline,,,
2374,5,baseline,,,
2375,4,baseline,,,
