mu_-0.01,mu_-0.015,mu_-0.02,mu_-0.025,mu_-0.03
52,3,69,9,60
5,59,32,19,27
30,1,53,91,28
61,9,40,17,16
33,2,64,24,26
95,40,10,28,50
49,41,40,9,30
74,1,71,13,46
48,49,88,49,43
171,4,139,63,9
12,61,34,52,10
14,21,37,24,63
31,1,22,62,33
7,33,2,20,54
96,56,17,54,17
92,22,72,35,24
22,38,33,68,12
29,18,82,4,40
15,11,51,22,6
93,116,42,38,16
59,38,4,0,0
23,5,11,9,30
71,118,59,4,98
21,79,7,3,23
67,9,53,15,94
16,3,65,13,21
4,47,89,3,11
99,115,50,95,9
43,22,65,92,22
67,8,57,35,75
38,43,29,33,3
64,35,26,35,17
12,12,20,11,28
82,49,75,4,28
69,61,10,168,15
51,62,2,52,26
10,67,0,21,0
127,149,13,1,20
47,37,4,3,35
18,23,66,4,29
24,42,18,3,26
24,63,12,33,3
87,49,109,1,150
68,29,2,13,20
7,27,31,31,20
31,6,57,5,6
83,22,17,126,25
38,6,23,36,20
51,192,44,8,11
29,19,5,28,31
119,6,26,61,23
39,10,59,8,21
48,26,82,9,9
90,3,0,31,125
16,21,11,108,70
8,143,119,83,26
27,18,10,96,15
70,46,104,37,32
2,59,86,64,78
74,22,138,67,55
33,119,9,17,23
5,35,3,5,12
68,4,7,25,13
118,50,99,53,76
29,13,60,14,90
107,14,26,21,32
54,24,24,18,12
14,43,1,145,38
38,66,13,23,71
163,16,21,83,6
94,14,25,11,0
9,39,16,29,2
12,25,26,50,14
102,32,49,2,7
11,81,84,48,24
19,32,18,37,41
84,28,42,55,19
112,57,19,57,9
6,24,133,3,42
65,34,28,42,1
46,55,4,2,25
93,12,31,71,11
47,89,20,124,3
14,12,70,16,3
89,29,16,16,4
0,125,31,8,73
48,28,58,58,6
15,12,6,16,10
103,46,19,1,23
25,6,41,43,16
129,7,53,130,7
79,19,31,19,4
31,69,94,1,24
78,76,45,24,13
64,26,59,47,10
2,33,72,53,12
119,20,139,40,63
73,27,43,26,13
133,8,0,5,35
21,38,48,36,27
22,1,9,22,37
99,74,156,5,13
63,57,65,73,44
69,47,14,55,63
42,106,17,24,20
86,51,47,111,14
36,3,29,17,10
98,74,8,95,20
85,88,73,62,75
58,9,37,4,37
98,8,73,39,126
95,56,10,103,48
9,72,27,49,80
46,0,37,39,2
19,87,34,11,38
2,21,35,27,0
36,6,57,91,2
4,77,56,28,34
165,98,3,99,20
28,24,37,17,13
25,3,26,15,3
17,23,0,166,25
106,37,10,16,18
15,8,18,40,78
67,10,8,3,55
130,7,2,20,19
41,3,62,15,77
20,39,109,28,19
193,16,2,26,37
134,30,14,87,8
96,64,5,12,0
0,42,31,17,23
4,18,43,5,90
30,23,2,53,2
61,73,18,46,21
94,98,54,6,8
96,26,53,26,20
1,121,42,5,34
73,1,166,15,26
94,33,47,71,11
31,20,78,105,5
63,76,28,16,41
45,62,15,31,4
34,23,82,49,114
19,124,9,41,12
4,34,27,6,38
103,114,65,9,25
43,26,12,20,7
11,25,15,7,14
11,18,9,9,54
100,104,52,10,46
18,4,50,69,17
45,78,116,0,11
39,10,5,4,20
42,10,25,36,26
28,56,3,76,21
16,84,32,32,3
61,93,9,5,24
68,42,39,11,3
91,19,108,32,34
54,10,6,43,45
52,54,14,14,33
58,27,37,6,8
38,31,49,54,20
35,74,29,112,23
115,1,43,17,6
40,9,68,57,13
93,15,49,21,20
77,24,1,27,24
108,11,34,0,4
10,88,10,51,60
13,1,4,77,14
35,16,99,63,12
197,102,85,1,4
44,131,11,80,31
78,51,128,19,68
41,111,29,9,17
6,104,38,14,30
88,42,11,84,7
3,36,2,27,111
73,36,7,23,16
66,33,41,27,15
49,72,30,127,141
24,8,16,39,53
71,46,201,50,59
104,63,12,44,88
41,36,108,10,50
75,55,85,51,2
114,40,108,14,38
19,68,35,0,63
162,49,0,5,30
57,0,17,4,15
11,104,38,109,29
44,29,62,127,15
10,64,88,16,3
64,1,0,55,8
35,125,17,27,88
31,31,51,12,24
33,19,116,36,39
105,6,1,35,50
79,104,20,25,31
90,0,2,37,28
4,8,41,108,13
4,71,168,20,5
145,5,64,62,50
52,79,87,9,30
72,194,106,38,12
12,150,62,21,109
71,7,36,5,78
4,17,13,9,88
164,23,12,20,65
12,46,8,25,20
12,60,21,41,39
18,62,125,38,7
28,66,50,139,28
20,99,2,36,25
102,69,4,7,58
33,40,182,43,48
85,78,43,29,1
33,6,5,18,34
158,81,17,50,27
73,45,128,98,25
39,43,12,78,3
29,56,69,8,3
96,52,2,57,15
42,79,173,17,36
34,38,4,23,0
7,79,117,6,47
0,58,4,46,41
12,92,17,0,3
71,15,5,57,22
20,3,50,68,22
31,9,120,2,0
24,38,54,2,14
12,19,45,48,5
124,24,27,20,18
28,0,79,30,94
21,87,64,15,33
115,78,55,14,8
77,52,7,11,64
33,13,62,73,7
61,9,2,61,25
6,22,22,46,13
10,61,60,50,5
16,50,8,6,53
83,5,52,100,28
114,62,43,81,29
68,15,67,27,1
6,20,87,12,52
20,33,121,5,92
76,58,18,60,50
14,46,170,5,20
113,83,30,11,7
12,11,63,44,14
73,32,44,85,2
36,58,9,63,8
19,80,65,42,19
60,22,65,35,24
53,60,17,35,2
17,147,40,27,17
38,6,106,24,32
17,37,32,16,28
48,78,9,3,17
2,50,23,1,54
21,27,54,14,18
73,23,33,4,9
46,14,30,55,43
13,53,32,48,81
16,66,63,0,47
54,31,14,29,16
35,23,35,49,26
62,21,106,133,6
60,19,85,62,13
28,104,29,31,3
0,4,4,72,108
49,84,41,18,33
46,37,1,21,13
86,61,13,22,36
55,2,24,7,27
5,19,15,64,1
34,20,15,72,57
56,0,144,7,40
75,18,34,11,53
105,63,60,8,58
116,19,28,13,13
65,44,18,24,8
11,51,29,5,7
57,58,23,88,4
