trial,max_z_def_A,max_z_def_C
0,2.293388,-0.782217
1,0.541162,1.012583
2,0.650328,0.549879
3,0.614326,1.645086
4,0.864816,1.732003
5,0.555336,0.658822
6,-0.252142,-0.132511
7,1.134207,2.025202
8,0.746370,0.796956
9,2.625425,0.796956
10,2.350943,2.633719
11,1.319472,-0.421207
12,1.563508,1.150769
13,1.253013,-0.066546
14,1.563508,-0.066546
15,1.904289,0.549879
16,2.744842,1.888356
17,1.527495,0.621492
18,0.978530,1.310966
19,2.580720,0.446029
20,0.937404,0.652873
21,0.435840,0.444880
22,1.480794,0.364672
23,1.801978,0.656452
24,-0.208800,0.733575
25,1.222726,1.372293
26,2.366232,0.162136
27,0.978530,0.886238
28,1.841934,1.012583
29,1.892575,1.022270
30,1.480794,1.022270
31,0.200380,1.022270
32,1.892575,1.849738
33,-0.119400,1.113653
34,1.253013,1.323347
35,1.319472,2.139402
36,0.487571,1.012583
37,1.563508,1.568484
38,-0.017766,1.599661
39,0.939025,1.846327
40,0.881944,3.909224
41,0.746370,1.846327
42,0.939025,1.113653
43,0.650328,1.310966
44,2.465677,0.658822
45,1.222726,1.661120
46,0.939025,2.772361
47,0.006864,3.043138
48,2.076460,1.645086
49,0.435840,0.735086
50,0.704048,2.376129
51,2.585853,2.139402
52,1.904289,1.661120
53,0.614326,0.203992
54,1.654088,1.105499
55,0.267739,2.091713
56,3.723355,1.645086
57,0.221352,0.656452
58,1.904289,1.372293
59,2.000675,1.846327
60,2.693850,1.310966
61,1.222726,1.150769
62,3.438672,0.658822
63,0.939025,1.645086
64,1.801978,1.150769
65,0.036116,1.290706
66,1.801978,1.310966
67,1.527495,0.733575
68,1.079304,1.849738
69,1.307500,1.645086
70,2.245071,-0.332181
71,2.083609,0.733575
72,1.293792,1.732003
73,0.864816,1.105499
74,0.939025,2.139402
75,1.222726,0.095101
76,0.173268,1.732003
77,1.307500,2.091713
78,2.000675,2.023314
79,0.555336,1.372293
80,1.390479,1.113653
81,0.221352,0.446029
82,0.704048,2.025202
83,0.746370,1.795899
84,1.222726,1.372293
85,0.555336,0.658822
86,1.253013,0.886238
87,2.293388,0.656452
88,1.253013,0.179465
89,0.939025,1.012583
90,0.200380,1.732003
91,0.787620,3.160391
92,0.650328,1.290706
93,3.174390,2.200665
94,0.939025,0.796956
95,2.245071,0.431407
96,1.253013,0.886238
97,1.390479,2.451422
98,1.222726,0.656452
99,-0.078849,2.025202
100,1.134207,1.568484
101,0.960913,0.972420
102,1.527495,-0.132511
103,1.390479,2.451422
104,1.654088,2.772361
105,1.253013,0.156184
106,1.253013,1.022270
107,1.293792,0.920293
108,2.347262,2.031533
109,1.508280,1.150769
110,1.563508,1.888356
111,0.094445,1.498811
112,0.429565,2.031533
113,0.614326,1.150769
114,0.787620,1.372293
115,1.390479,0.364672
116,0.541162,0.733575
117,-0.415338,1.599661
118,2.245071,0.658822
119,1.079304,3.142774
120,0.939025,1.645086
121,2.173969,0.658822
122,-0.078849,3.604375
123,2.245071,1.795899
124,-0.078849,0.293164
125,0.429565,0.652873
126,0.864816,2.023314
127,1.390479,1.846327
128,0.555336,2.177052
129,0.267739,2.177052
130,0.978530,0.658822
131,0.978530,1.599661
132,-0.781902,0.549879
133,0.541162,-0.426256
134,1.563508,2.177052
135,3.560318,0.652873
136,0.787620,0.652873
137,2.245071,1.732003
138,1.527495,2.177052
139,1.319472,0.293164
140,1.390479,0.364672
141,0.221352,0.652873
142,2.293388,1.674274
143,0.541162,0.733575
144,2.350943,2.139402
145,1.801978,1.290706
146,0.487571,0.972420
147,1.510506,2.754443
148,2.173969,1.150769
149,1.319472,1.113653
150,0.978530,1.645086
151,2.293388,1.795899
152,0.221352,2.139402
153,1.563508,0.444880
154,3.560318,1.372293
155,1.563508,0.972420
156,1.319472,1.147883
157,0.864816,1.795899
158,0.541162,1.372293
159,0.221352,1.599661
160,0.978530,0.162136
161,1.480794,1.645086
162,1.904289,0.364672
163,1.390479,1.341068
164,0.978530,1.150769
165,1.390479,1.012583
166,1.563508,0.972420
167,0.864816,1.105499
168,1.563508,0.972420
169,2.293388,1.846327
170,0.746370,0.735086
171,2.580720,1.795899
172,1.390479,1.599661
173,2.347262,2.478145
174,0.650328,0.733575
175,3.224184,0.733575
176,0.960913,1.475913
177,0.939025,1.732003
178,1.253013,1.022270
179,0.864816,0.658822
180,1.390479,1.022270
181,0.787620,1.372293
182,0.881944,2.177052
183,0.960913,1.732003
184,2.151744,0.886238
185,0.881944,0.431407
186,2.899908,0.733575
187,0.094445,2.139402
188,0.746370,0.364672
189,1.654088,2.551593
190,1.563508,1.645086
191,1.390479,0.656452
192,0.939025,0.444880
193,0.704048,1.846327
194,2.366232,1.012583
195,1.841934,2.376129
196,0.650328,1.599661
197,0.881944,2.250730
198,1.293792,0.920293
199,1.253013,1.645086
200,2.293388,1.888356
201,1.701540,2.025202
202,0.787620,0.972420
203,1.319472,1.150769
204,1.307500,0.733575
205,1.222726,1.150769
206,1.510506,2.091713
207,1.801978,2.932976
208,2.000675,1.795899
209,0.881944,0.733575
210,0.155083,2.177052
211,1.222726,0.656452
212,0.555336,1.732003
213,2.585853,2.200665
214,0.939025,0.656452
215,0.094445,0.431407
216,0.650328,1.150769
217,1.390479,0.293164
218,0.939025,0.886238
219,2.926635,1.674274
220,1.937256,2.401947
221,1.904289,1.113653
222,0.704048,1.645086
223,1.222726,1.113653
224,0.094445,2.587154
225,2.293388,0.733575
226,2.625425,2.139402
227,0.704048,1.674274
228,0.939025,1.022270
229,1.390479,1.849738
230,1.892575,2.177052
231,0.487571,2.091713
232,-0.017766,1.645086
233,1.801978,1.372293
234,1.222726,1.568484
235,1.701540,1.150769
236,1.079304,0.446029
237,2.847745,2.957567
238,0.881944,0.656452
239,2.293388,2.139402
240,0.746370,2.451422
241,0.881944,2.727056
242,0.939025,1.645086
243,1.563508,1.323347
244,2.293388,0.735086
245,0.704048,1.310966
246,-0.119400,1.341068
247,0.864816,1.645086
248,0.650328,1.661120
249,0.864816,2.451422
250,0.939025,1.372293
251,1.134207,1.372293
252,2.151744,1.012583
253,0.978530,0.658822
254,1.722768,2.705560
255,-0.207624,0.446029
256,2.899908,1.105499
257,1.563508,1.012583
258,1.527495,-0.332181
259,2.656711,0.270565
260,0.939025,1.661120
261,2.347262,2.139402
262,2.465677,2.451422
263,2.350943,1.113653
264,0.881944,0.656452
265,0.881944,2.139402
266,0.939025,-0.132511
267,2.625425,0.735086
268,1.508280,2.633719
269,0.939025,0.446029
270,2.744842,0.972420
271,0.541162,0.446029
272,1.253013,0.796956
273,1.319472,0.658822
274,0.200380,2.250730
275,1.827381,2.451422
276,2.926635,1.341068
277,0.704048,1.674274
278,1.527495,1.645086
279,0.978530,2.401947
280,0.487571,2.727056
281,0.541162,2.957567
282,2.293388,-0.332181
283,-0.208800,1.310966
284,1.510506,1.341068
285,2.580720,1.568484
286,0.978530,2.250730
287,0.541162,1.012583
288,1.654088,1.310966
289,0.864816,1.012583
290,1.128438,0.733575
291,1.390479,1.341068
292,1.827381,1.290706
293,0.960913,0.733575
294,-0.481184,0.658822
295,2.656711,1.732003
296,0.487571,0.886238
297,0.487571,-0.426256
298,2.000675,0.796956
299,1.128438,0.656452
300,0.541162,2.250730
301,0.704048,2.177052
302,0.704048,0.972420
303,0.960913,2.025202
304,1.222726,0.293164
305,1.904289,1.888356
306,1.904289,0.431407
307,1.841934,2.023314
308,1.563508,1.732003
309,0.155083,1.147883
310,2.585853,1.147883
311,0.221352,2.177052
312,2.293388,1.310966
313,0.864816,1.341068
314,1.079304,0.656452
315,0.267739,1.150769
316,2.656711,2.705560
317,1.827381,1.888356
318,2.000675,-0.005741
319,3.009696,0.886238
320,0.881944,3.428911
321,0.960913,0.656452
322,0.650328,0.652873
323,0.429565,2.465747
324,0.487571,-0.066546
325,1.527495,0.733575
326,0.939025,2.091713
327,2.465677,0.652873
328,0.704048,1.888356
329,2.585853,1.372293
330,1.841934,-0.332181
331,1.654088,2.250730
332,0.881944,0.444880
333,0.864816,1.475913
334,0.650328,1.795899
335,1.293792,2.139402
336,0.939025,2.177052
337,0.650328,0.656452
338,1.253013,1.022270
339,0.939025,0.886238
340,2.366232,1.150769
341,1.510506,2.451422
342,0.541162,1.341068
343,1.654088,1.795899
344,2.076460,0.621492
345,1.527495,2.478145
346,1.222726,2.177052
347,0.704048,1.599661
348,2.693850,2.139402
349,2.274643,2.025202
350,0.221352,0.444880
351,-0.207624,1.372293
352,0.939025,2.551593
353,0.939025,2.754443
354,0.937404,-0.132511
355,0.541162,1.310966
356,1.319472,1.645086
357,1.841934,1.105499
358,0.746370,1.113653
359,0.441032,2.139402
360,1.701540,2.200665
361,1.510506,0.293164
362,0.155083,0.733575
363,1.390479,1.599661
364,0.541162,1.150769
365,0.487571,1.323347
366,1.654088,0.652873
367,0.960913,1.012583
368,1.722768,1.310966
369,0.881944,0.293164
370,0.937404,1.849738
371,1.307500,0.621492
372,0.978530,0.656452
373,0.704048,1.310966
374,0.429565,0.293164
375,0.036116,1.310966
376,1.480794,2.023314
377,0.704048,1.105499
378,0.939025,1.661120
379,1.527495,1.888356
380,1.134207,1.732003
381,0.787620,1.113653
382,1.937256,2.031533
383,0.881944,1.568484
384,1.508280,0.733575
385,0.978530,1.599661
386,0.939025,1.341068
387,1.390479,0.549879
388,2.350943,1.022270
389,0.364302,1.599661
390,1.701540,0.364672
391,1.222726,1.310966
392,0.541162,2.633719
393,0.937404,0.658822
394,1.390479,1.147883
395,0.650328,1.012583
396,1.841934,1.290706
397,1.722768,0.972420
398,0.960913,0.270565
399,0.650328,1.645086
400,0.487571,0.652873
401,1.222726,1.022270
402,0.435840,2.376129
403,2.173969,1.150769
404,0.036116,0.652873
405,1.319472,0.920293
406,0.555336,0.733575
407,1.563508,1.150769
408,2.585853,-0.332181
409,1.253013,2.465747
410,1.722768,0.431407
411,2.366232,1.568484
412,0.939025,1.372293
413,0.704048,1.310966
414,1.841934,1.732003
415,1.937256,1.645086
416,2.083609,1.105499
417,1.480794,1.372293
418,1.079304,1.290706
419,1.563508,-0.066546
420,1.701540,0.658822
421,0.939025,2.250730
422,1.937256,0.621492
423,1.390479,2.957567
424,1.222726,2.465747
425,0.939025,1.372293
426,1.527495,0.446029
427,1.563508,1.372293
428,0.704048,1.022270
429,1.253013,1.888356
430,1.892575,0.162136
431,2.293388,2.216740
432,1.937256,0.095101
433,2.899908,0.796956
434,1.480794,1.599661
435,0.555336,0.431407
436,1.904289,0.733575
437,1.722768,1.372293
438,2.076460,2.031533
439,2.693850,0.652873
440,1.801978,0.886238
441,1.079304,1.661120
442,2.274643,1.645086
443,1.293792,1.150769
444,1.841934,1.846327
445,1.222726,1.113653
446,0.429565,0.735086
447,1.222726,0.886238
448,2.076460,-0.005741
449,1.390479,0.621492
450,1.390479,0.658822
451,2.465677,1.323347
452,1.128438,1.568484
453,-0.393882,0.444880
454,0.881944,2.025202
455,0.881944,0.886238
456,1.390479,1.150769
457,1.527495,1.674274
458,1.222726,2.091713
459,0.881944,1.372293
460,0.650328,1.498811
461,1.293792,1.888356
462,1.937256,1.150769
463,1.904289,1.150769
464,2.899908,1.341068
465,1.563508,1.599661
466,1.390479,1.498811
467,1.527495,1.888356
468,1.563508,2.139402
469,1.527495,1.341068
470,2.656711,1.475913
471,1.722768,0.652873
472,1.563508,1.290706
473,1.480794,0.621492
474,2.350943,1.498811
475,0.864816,0.656452
476,1.563508,1.795899
477,0.200380,2.216740
478,1.128438,1.290706
479,1.563508,1.674274
480,1.563508,1.012583
481,0.939025,1.498811
482,1.079304,2.091713
483,0.006864,1.341068
484,0.881944,0.156184
485,1.134207,1.012583
486,1.563508,1.150769
487,2.000675,1.150769
488,1.801978,0.920293
489,1.390479,1.372293
490,0.864816,0.444880
491,0.541162,0.796956
492,1.128438,0.652873
493,2.350943,0.886238
494,0.614326,1.105499
495,1.293792,0.972420
496,0.704048,1.568484
497,0.614326,0.652873
498,0.939025,1.599661
499,0.978530,1.846327
500,0.036116,2.401947
501,2.465677,1.645086
502,-0.393882,1.012583
503,1.527495,1.645086
504,0.787620,1.661120
505,1.654088,1.150769
506,0.541162,2.139402
507,0.939025,1.323347
508,0.978530,1.290706
509,0.650328,1.475913
510,1.722768,3.043138
511,1.510506,1.150769
512,1.480794,2.376129
513,1.801978,1.150769
514,1.253013,1.290706
515,-0.017766,1.150769
516,1.390479,2.031533
517,2.173969,1.012583
518,0.937404,-0.606753
519,1.480794,2.091713
520,-0.207624,1.022270
521,2.173969,1.310966
522,1.480794,1.645086
523,2.625425,0.364672
524,1.390479,1.012583
525,2.867143,1.795899
526,2.245071,0.656452
527,0.939025,2.025202
528,1.390479,2.200665
529,1.390479,1.310966
530,1.527495,1.498811
531,0.704048,1.372293
532,0.541162,1.147883
533,1.701540,1.012583
534,1.527495,2.902520
535,2.245071,1.150769
536,2.293388,1.795899
537,0.978530,1.568484
538,2.867143,2.451422
539,1.654088,1.732003
540,1.134207,0.920293
