definition,n_window,L_eff,shuf_mean,shuf_std,T_nat,z_nat,p_param
A,20,6,3.920000,2.215064,9,2.293388,1.091284e-02
A,33,6,6.412000,2.934428,14,2.585853,4.856913e-03
A,50,6,5.435000,3.643219,16,2.899908,1.866363e-03
A,70,6,8.968000,4.662265,21,2.580720,4.929725e-03
A,90,6,10.093000,5.234668,29,3.611881,1.519919e-04
A,100,6,10.455000,5.770552,29,3.213730,6.551130e-04
C,20,6,3.672000,2.022995,8,2.139402,1.620155e-02
C,33,6,6.185000,2.780019,13,2.451422,7.114643e-03
C,50,6,5.459000,3.463859,15,2.754443,2.939610e-03
C,70,6,8.103000,4.397241,20,2.705560,3.409464e-03
C,90,6,10.031000,5.399370,28,3.327981,4.373890e-04
C,100,6,10.458000,5.699186,28,3.077984,1.042032e-03
