trial,sign_count,stouffer_Z,inerts_q4,inerts_q6,inerts_q8,inerts_q12
0,0,-2.466577,480,494,485,463
1,1,-1.707630,480,487,502,477
2,4,1.264911,509,501,522,508
3,4,0.822192,509,506,506,505
4,3,0.917061,519,483,512,515
5,0,-3.067409,484,453,475,491
6,3,0.252982,503,505,507,493
7,1,-0.379473,499,511,479,499
8,4,1.992235,532,518,503,510
9,3,0.000000,502,505,503,490
10,4,2.624690,523,522,519,519
11,0,-1.549516,483,496,495,477
12,1,-1.201666,493,471,484,514
13,2,0.758947,503,487,535,499
14,1,0.158114,480,490,496,539
15,0,-3.857979,476,488,461,453
16,1,-0.600833,489,498,484,510
17,4,0.917061,502,515,502,510
18,4,3.162278,542,533,518,507
19,1,-1.075174,483,500,477,506
20,3,0.695701,505,504,516,497
21,1,-1.581139,504,483,482,481
22,1,-1.011929,486,480,506,496
23,2,0.221359,497,501,513,496
24,0,-1.992235,490,496,476,475
25,3,1.486271,498,531,502,516
26,2,0.379473,512,507,493,500
27,3,0.537587,505,500,502,510
28,2,-0.505964,510,507,476,491
29,1,-0.189737,519,498,485,492
30,3,1.075174,494,511,528,501
31,2,-0.063246,510,507,490,491
32,0,-1.739253,494,483,482,486
33,4,1.328157,502,513,512,515
34,2,0.031623,492,497,503,509
35,1,-0.600833,502,488,497,494
36,1,-0.664078,498,493,505,483
37,1,-0.790569,484,486,510,495
38,2,-0.537587,517,473,512,481
39,4,1.011929,509,508,510,505
40,3,0.411096,515,504,485,509
41,4,4.142584,526,525,541,539
42,3,0.885438,518,493,502,515
43,1,-0.948683,495,484,484,507
44,1,-0.853815,489,467,523,494
45,1,-1.707630,472,503,488,483
46,0,-1.770875,494,475,495,480
47,4,2.877673,541,506,525,519
48,3,0.948683,513,520,486,511
49,4,1.328157,511,506,513,512
50,0,-2.150349,488,482,491,471
51,4,2.593068,511,528,516,527
52,1,-1.170043,510,484,497,472
53,1,-1.201666,475,513,478,496
54,0,-1.264911,485,500,493,482
55,4,2.213594,506,520,524,520
56,0,-1.359779,488,478,500,491
57,2,0.379473,504,488,524,496
58,3,0.632456,506,508,497,509
59,4,1.707630,526,516,502,510
60,4,3.099032,526,518,533,521
61,3,1.454648,498,530,501,517
62,0,-1.581139,487,475,493,495
63,3,1.770875,515,497,533,511
64,0,-1.865744,481,498,471,491
65,3,1.676007,512,495,527,519
66,1,-0.442719,502,495,494,495
67,2,0.221359,502,506,500,499
68,3,1.106797,528,506,511,490
69,4,2.466577,523,521,507,527
70,2,-0.347851,503,515,485,486
71,3,0.316228,505,487,501,517
72,2,-0.031623,496,495,504,504
73,0,-2.940918,470,491,473,473
74,2,-0.316228,508,482,499,501
75,4,2.403331,504,520,519,533
76,3,0.411096,504,505,500,504
77,0,-0.822192,498,499,486,491
78,3,0.158114,475,515,505,510
79,2,-0.600833,510,484,508,479
80,4,1.517893,506,508,518,516
81,4,1.770875,520,527,503,506
82,0,-3.510128,476,475,479,459
83,4,2.846050,544,521,518,507
84,1,0.031623,499,499,509,494
85,4,4.142584,524,543,533,531
86,1,-0.758947,500,476,499,501
87,3,0.442719,508,501,497,508
88,1,0.000000,518,494,498,490
89,1,-0.600833,496,504,485,496
90,0,-1.992235,489,470,499,479
91,3,1.233288,515,497,514,513
92,2,0.411096,513,499,506,495
93,3,1.075174,521,478,525,510
94,1,-1.170043,484,503,495,481
95,1,-1.233288,503,494,483,481
96,1,0.000000,500,489,498,513
97,0,-1.106797,492,493,487,493
98,4,1.739253,509,506,522,518
99,2,0.316228,516,490,504,500
100,4,2.466577,524,514,514,526
101,2,0.221359,510,507,499,491
102,3,0.411096,504,494,508,507
103,2,0.853815,525,524,486,492
104,4,2.434954,520,509,531,517
105,3,-0.126491,482,503,509,502
106,2,0.189737,500,507,501,498
107,4,1.676007,521,518,504,510
108,2,-0.189737,514,514,476,490
109,2,0.727324,499,517,507,500
110,3,0.379473,506,514,502,490
111,0,-3.130655,468,464,498,471
112,3,0.885438,509,491,515,513
113,4,1.549516,514,512,510,513
114,2,0.094868,520,522,478,483
115,3,1.043552,507,515,492,519
116,4,2.719559,524,521,524,517
117,2,-0.347851,491,501,506,491
118,3,1.296534,504,497,522,518
119,4,1.612762,518,508,520,505
120,3,0.284605,502,513,501,493
121,0,-1.075174,488,496,491,491
122,1,0.063246,499,504,499,500
123,2,1.011929,533,491,509,499
124,2,-0.695701,502,503,478,495
125,4,2.181972,520,509,519,521
126,4,1.075174,507,508,504,515
127,2,0.063246,507,502,499,494
128,4,1.328157,513,511,511,507
129,2,-0.917061,501,501,496,473
130,2,0.221359,487,516,499,505
131,3,1.106797,500,509,516,510
132,4,1.739253,513,510,520,512
133,0,-1.992235,485,495,482,475
134,3,0.727324,513,498,510,502
135,3,1.296534,522,522,501,496
136,1,-0.695701,509,486,497,486
137,3,0.695701,502,483,519,518
138,3,0.980306,502,497,515,517
139,1,-0.474342,472,500,500,513
140,1,-1.296534,499,511,471,478
141,3,0.284605,508,493,506,502
142,2,0.347851,513,497,505,496
143,4,2.118726,530,505,510,522
144,0,-3.573374,467,477,465,478
145,3,2.055480,520,498,530,517
146,4,1.928989,522,521,509,509
147,1,-0.474342,494,487,511,493
148,2,1.106797,500,497,523,515
149,3,0.537587,492,506,516,503
150,0,-1.739253,487,486,494,478
151,3,0.379473,507,502,499,504
152,1,-1.391402,497,502,476,481
153,4,0.758947,505,501,509,509
154,1,0.094868,497,516,497,493
155,3,0.600833,505,495,508,511
156,0,-2.245217,471,487,471,500
157,0,-1.770875,484,498,483,479
158,3,0.980306,512,499,515,505
159,3,1.106797,504,499,518,514
160,3,0.094868,502,502,490,509
161,4,1.834121,521,520,505,512
162,2,-0.758947,506,501,473,496
163,2,-0.727324,503,509,484,481
164,1,-0.822192,491,488,503,492
165,0,-3.130655,472,475,472,482
166,3,0.632456,506,493,512,509
167,2,0.474342,508,497,499,511
168,4,3.636619,533,523,539,520
169,1,-0.980306,495,486,477,511
170,4,1.454648,512,517,502,515
171,4,1.201666,514,503,516,505
172,0,-3.984470,472,469,472,461
173,2,-1.359779,504,503,473,477
174,3,0.569210,506,512,515,485
175,2,-0.917061,502,469,504,496
176,1,-0.664078,486,486,500,507
177,2,-0.126491,492,496,503,505
178,3,0.822192,511,500,502,513
179,2,0.158114,494,507,491,513
180,3,1.043552,508,534,473,518
181,4,3.035787,517,531,518,530
182,4,0.600833,505,501,506,507
183,3,2.118726,499,516,541,511
184,2,1.960612,494,497,530,541
185,4,2.561445,527,504,533,517
186,0,-1.359779,491,496,478,492
187,1,-0.822192,485,506,484,499
188,2,-0.379473,505,479,515,489
189,2,-0.158114,502,492,498,503
190,2,0.316228,496,511,505,498
191,2,-0.158114,501,491,493,510
192,3,-0.063246,504,503,503,488
193,3,1.770875,511,524,499,522
194,2,0.031623,495,501,512,493
195,3,3.288769,536,500,541,527
196,0,-1.676007,488,480,497,482
197,0,-1.138420,496,490,488,490
198,3,1.106797,520,511,510,494
199,1,-1.296534,490,505,489,475
200,3,1.802498,514,530,492,521
201,2,0.316228,499,509,500,502
202,0,-2.972541,470,484,477,475
203,1,-1.739253,493,465,510,477
204,1,-1.075174,493,481,508,484
205,3,0.537587,505,502,497,513
206,2,1.170043,497,529,486,525
207,1,-0.284605,492,496,497,506
208,4,2.245217,508,533,507,523
209,4,2.150349,520,530,504,514
210,2,0.664078,494,510,498,519
211,0,-1.802498,497,494,462,490
212,2,0.284605,497,515,491,506
213,1,-0.569210,494,501,495,492
214,2,0.063246,503,492,516,491
215,2,0.189737,514,487,505,500
216,0,-2.308463,478,490,478,481
217,2,0.158114,495,494,514,502
218,1,-0.569210,500,491,489,502
219,2,0.379473,500,514,489,509
220,1,-0.442719,495,504,489,498
221,3,0.474342,482,502,503,528
222,4,2.213594,511,518,518,523
223,1,-0.632456,483,494,514,489
224,4,1.454648,506,516,506,518
225,1,-1.486271,480,485,501,487
226,3,0.505964,511,483,516,506
227,4,1.328157,512,509,513,508
228,1,-1.011929,479,490,506,493
229,2,0.094868,510,482,500,511
230,3,1.739253,500,533,515,507
231,3,1.454648,522,491,521,512
232,4,3.763110,529,519,548,523
233,0,-0.252982,497,500,495,500
234,4,4.332320,536,548,522,531
235,2,1.075174,485,499,520,530
236,2,0.252982,506,499,500,503
237,4,2.371708,512,517,522,524
238,3,1.170043,509,517,513,498
239,3,1.328157,527,494,517,504
240,0,-2.150349,482,485,468,497
241,2,0.284605,514,491,508,496
242,4,1.201666,502,504,513,519
243,2,-0.252982,489,516,503,484
244,2,0.126491,498,502,495,509
245,4,1.581139,514,511,506,519
246,3,0.505964,516,504,519,477
247,2,0.569210,516,492,498,512
248,3,-0.316228,509,503,507,471
249,1,-1.233288,485,477,487,512
250,2,0.000000,509,517,486,488
251,2,-0.189737,514,492,502,486
252,3,1.170043,494,518,511,514
253,0,-2.087103,472,497,489,476
254,1,-1.170043,482,496,501,484
255,1,-1.676007,497,473,504,473
256,0,-2.814427,488,469,476,478
257,4,1.517893,523,506,509,510
258,2,-0.252982,492,504,492,504
259,2,-0.284605,481,501,496,513
260,0,-1.928989,472,497,500,470
261,2,0.379473,499,517,502,494
262,0,-1.802498,482,482,493,486
263,4,3.130655,517,525,526,531
264,4,2.340085,520,513,515,526
265,1,-0.600833,510,491,489,491
266,3,1.201666,518,472,515,533
267,0,-2.846050,482,477,483,468
268,2,-0.411096,491,507,483,506
269,1,-0.505964,494,495,490,505
270,1,-0.664078,477,479,527,496
271,3,1.359779,506,500,508,529
272,3,0.727324,513,487,518,505
273,4,3.035787,510,513,546,527
274,2,0.379473,514,485,518,495
275,1,-0.252982,499,500,487,506
276,1,-0.790569,493,504,479,499
277,2,0.569210,528,505,487,498
278,0,-1.391402,491,489,499,477
279,0,-2.466577,488,481,466,487
280,1,-0.569210,481,510,496,495
281,2,0.158114,496,519,471,519
282,0,-0.885438,494,494,499,485
283,4,1.802498,505,525,516,511
284,2,-0.316228,504,524,486,476
285,1,-1.707630,487,506,476,477
286,0,-1.075174,481,499,492,494
287,0,-2.593068,471,481,496,470
288,4,2.498199,515,524,510,530
289,1,-0.885438,483,490,505,494
290,3,0.853815,515,502,513,497
291,1,-0.189737,493,516,487,498
292,2,-0.221359,507,507,480,499
293,3,0.126491,502,488,503,511
294,4,2.150349,519,509,532,508
295,3,1.264911,511,511,523,495
296,4,2.498199,537,510,522,510
297,1,-0.758947,488,486,491,511
298,0,-2.909295,474,480,476,478
299,2,0.189737,512,495,520,479
300,1,-0.664078,496,500,471,512
301,3,1.517893,527,520,498,503
302,0,-1.043552,494,486,495,492
303,2,0.031623,494,507,508,492
304,3,1.075174,521,509,518,486
305,3,1.612762,529,508,518,496
306,4,1.233288,521,505,508,505
307,4,1.423025,512,519,502,512
308,0,-0.822192,500,496,485,493
309,4,2.434954,505,528,521,523
310,4,2.751182,517,524,517,529
311,3,0.379473,496,502,508,506
312,3,0.347851,510,503,485,513
313,2,-0.221359,510,505,496,482
314,0,-1.328157,496,481,499,482
315,3,0.252982,503,503,503,499
316,1,-1.612762,492,504,461,492
317,4,1.106797,513,508,506,508
318,4,4.616925,541,524,535,546
319,2,0.252982,510,504,496,498
320,0,-2.403331,494,478,476,476
321,1,-1.581139,494,482,472,502
322,1,0.221359,496,532,485,494
323,2,-0.569210,511,477,503,491
324,3,0.600833,507,500,508,504
325,1,-0.758947,493,494,487,502
326,3,1.770875,517,497,540,502
327,4,1.802498,505,525,514,513
328,3,1.612762,515,496,523,517
329,2,-0.126491,493,494,503,506
330,2,-0.252982,503,489,497,503
331,3,0.600833,513,501,508,497
332,1,-2.719559,454,476,509,475
333,2,0.126491,511,495,512,486
334,3,0.790569,504,515,491,515
335,0,-1.391402,491,491,481,493
336,3,1.011929,515,504,514,499
337,1,-0.917061,496,506,490,479
338,3,0.411096,487,506,512,508
339,1,-0.632456,477,497,493,513
340,0,-1.992235,482,472,487,496
341,2,0.063246,506,499,484,513
342,0,-3.604997,474,469,485,458
343,1,-0.980306,493,484,508,484
344,2,-0.537587,475,495,509,504
345,1,0.221359,524,500,484,499
346,4,0.948683,507,503,516,504
347,1,-0.347851,509,500,494,486
348,1,-1.106797,497,483,509,476
349,3,1.928989,531,514,485,531
350,0,-1.296534,484,497,480,498
351,1,-0.094868,512,500,491,494
352,2,0.063246,519,504,493,486
353,3,1.138420,506,524,496,510
354,4,2.814427,534,501,531,523
355,3,2.055480,505,500,524,536
356,2,0.158114,491,501,513,500
357,2,-0.948683,504,469,509,488
358,1,-1.106797,508,490,487,480
359,4,2.245217,521,518,509,523
360,4,2.213594,505,519,517,529
361,4,1.233288,520,504,511,504
362,1,-1.075174,490,489,503,484
363,4,0.853815,505,502,518,502
364,1,-0.664078,487,490,506,496
365,3,0.790569,504,521,490,510
366,2,0.000000,495,490,508,507
367,1,-0.316228,480,491,519,500
368,4,1.865744,506,517,519,517
369,1,-0.505964,506,493,487,498
370,2,-0.758947,485,515,472,504
371,4,1.676007,506,517,527,503
372,1,-0.379473,490,492,510,496
373,3,1.454648,524,509,499,514
374,0,-1.612762,476,499,490,484
375,2,0.158114,501,497,515,492
376,0,-1.960612,481,485,480,492
377,3,-0.031623,504,505,480,510
378,4,0.727324,506,503,506,508
379,2,-0.379473,505,504,494,485
380,3,1.075174,521,502,515,496
381,2,-0.632456,491,469,519,501
382,3,0.505964,512,508,503,493
383,3,1.075174,506,499,509,520
384,2,0.474342,499,497,507,512
385,0,-1.612762,491,478,494,486
386,2,0.347851,513,506,496,496
387,3,1.170043,512,531,485,509
388,3,0.537587,507,495,510,505
389,0,-3.130655,484,466,480,471
390,0,-2.245217,479,494,491,465
391,4,1.454648,509,527,501,509
392,1,-0.316228,498,482,511,499
393,4,1.486271,503,511,516,517
394,1,-0.885438,473,514,491,494
395,2,0.664078,484,517,499,521
396,0,-2.055480,490,486,470,489
397,1,-1.834121,470,489,479,504
398,1,-0.189737,514,487,497,496
399,4,1.549516,516,520,512,501
400,2,-0.505964,503,491,489,501
401,4,3.794733,533,536,511,540
402,2,0.664078,491,493,528,509
403,0,-1.011929,488,494,497,489
404,1,-1.264911,489,503,493,475
405,2,0.600833,499,519,491,510
406,4,2.118726,528,510,513,516
