d,in_5series,in_7series,cluster_idx,cluster_lo,cluster_hi,nj_def_i,nj_def_ii
3,0,1,0,3,4,1,2
4,1,0,0,3,4,1,2
6,0,1,1,6,7,1,2
7,1,0,1,6,7,1,2
9,1,1,2,9,9,2,2
11,0,1,3,11,39,1,2
12,1,0,3,11,39,1,2
13,0,1,3,11,39,1,2
14,1,0,3,11,39,1,2
15,0,1,3,11,39,1,2
16,1,0,3,11,39,1,2
17,0,1,3,11,39,1,2
18,1,0,3,11,39,1,2
19,0,1,3,11,39,1,2
20,1,0,3,11,39,1,2
21,0,1,3,11,39,1,2
22,1,0,3,11,39,1,2
23,0,1,3,11,39,1,2
24,1,0,3,11,39,1,2
25,0,1,3,11,39,1,2
26,1,0,3,11,39,1,2
27,0,1,3,11,39,1,2
28,1,0,3,11,39,1,2
29,0,1,3,11,39,1,2
30,1,0,3,11,39,1,2
31,0,1,3,11,39,1,2
32,1,1,3,11,39,1,2
33,1,0,3,11,39,1,2
34,0,1,3,11,39,1,2
35,1,0,3,11,39,1,2
36,0,1,3,11,39,1,2
37,1,0,3,11,39,1,2
38,0,1,3,11,39,1,2
39,1,1,3,11,39,1,2
41,1,1,4,41,46,1,2
42,1,0,4,41,46,1,2
43,0,1,4,41,46,1,2
44,1,0,4,41,46,1,2
45,0,1,4,41,46,1,2
46,1,1,4,41,46,1,2
48,1,1,5,48,58,1,2
49,1,0,5,48,58,1,2
50,0,1,5,48,58,1,2
51,1,0,5,48,58,1,2
52,0,1,5,48,58,1,2
53,1,1,5,48,58,1,2
54,1,0,5,48,58,1,2
55,0,1,5,48,58,1,2
56,1,0,5,48,58,1,2
57,0,1,5,48,58,1,2
58,1,1,5,48,58,1,2
60,1,1,6,60,63,1,2
61,1,0,6,60,63,1,2
62,0,1,6,60,63,1,2
63,1,1,6,60,63,1,2
65,1,1,7,65,68,1,2
66,1,0,7,65,68,1,2
67,0,1,7,65,68,1,2
68,1,1,7,65,68,1,2
70,1,1,8,70,73,1,2
71,1,0,8,70,73,1,2
72,0,1,8,70,73,1,2
73,1,1,8,70,73,1,2
75,1,1,9,75,76,1,2
76,1,1,9,75,76,1,2
78,1,1,10,78,78,2,2
80,1,1,11,80,81,1,2
81,1,1,11,80,81,1,2
83,1,1,12,83,86,1,2
84,1,0,12,83,86,1,2
85,0,1,12,83,86,1,2
86,1,1,12,83,86,1,2
88,1,1,13,88,89,1,2
89,1,1,13,88,89,1,2
91,1,1,14,91,94,1,2
92,1,0,14,91,94,1,2
93,0,1,14,91,94,1,2
94,1,1,14,91,94,1,2
96,1,1,15,96,97,1,2
97,1,1,15,96,97,1,2
99,1,1,16,99,102,1,2
100,1,0,16,99,102,1,2
101,0,1,16,99,102,1,2
102,1,1,16,99,102,1,2
104,1,1,17,104,105,1,2
105,1,1,17,104,105,1,2
107,1,1,18,107,108,1,2
108,1,1,18,107,108,1,2
110,1,1,19,110,110,2,2
112,1,1,20,112,113,1,2
113,1,1,20,112,113,1,2
115,1,1,21,115,116,1,2
116,1,1,21,115,116,1,2
118,1,1,22,118,119,1,2
119,1,1,22,118,119,1,2
121,1,1,23,121,121,2,2
123,1,1,24,123,124,1,2
124,1,1,24,123,124,1,2
126,1,1,25,126,127,1,2
127,1,1,25,126,127,1,2
129,1,1,26,129,130,1,2
130,1,1,26,129,130,1,2
132,1,1,27,132,135,1,2
133,0,1,27,132,135,1,2
134,1,0,27,132,135,1,2
135,1,1,27,132,135,1,2
137,1,1,28,137,138,1,2
138,1,1,28,137,138,1,2
140,1,1,29,140,141,1,2
141,1,1,29,140,141,1,2
143,1,1,30,143,144,1,2
144,1,1,30,143,144,1,2
146,1,1,31,146,147,1,2
147,1,1,31,146,147,1,2
149,1,1,32,149,158,1,2
150,0,1,32,149,158,1,2
151,1,0,32,149,158,1,2
152,1,1,32,149,158,1,2
153,0,1,32,149,158,1,2
154,1,0,32,149,158,1,2
155,1,1,32,149,158,1,2
156,0,1,32,149,158,1,2
157,1,0,32,149,158,1,2
158,1,1,32,149,158,1,2
160,1,1,33,160,161,1,2
161,1,1,33,160,161,1,2
163,1,1,34,163,164,1,2
164,1,1,34,163,164,1,2
166,1,1,35,166,167,1,2
167,1,1,35,166,167,1,2
169,1,1,36,169,170,1,2
170,1,1,36,169,170,1,2
172,1,1,37,172,482,1,2
173,0,1,37,172,482,1,2
174,1,0,37,172,482,1,2
175,1,1,37,172,482,1,2
176,0,1,37,172,482,1,2
177,1,0,37,172,482,1,2
178,1,1,37,172,482,1,2
179,0,1,37,172,482,1,2
180,1,0,37,172,482,1,2
181,1,1,37,172,482,1,2
182,0,1,37,172,482,1,2
183,1,0,37,172,482,1,2
184,1,1,37,172,482,1,2
185,0,1,37,172,482,1,2
186,1,0,37,172,482,1,2
187,1,1,37,172,482,1,2
188,0,1,37,172,482,1,2
189,1,0,37,172,482,1,2
190,1,1,37,172,482,1,2
191,0,1,37,172,482,1,2
192,1,0,37,172,482,1,2
193,1,1,37,172,482,1,2
194,0,1,37,172,482,1,2
195,1,0,37,172,482,1,2
196,1,1,37,172,482,1,2
197,0,1,37,172,482,1,2
198,1,0,37,172,482,1,2
199,1,1,37,172,482,1,2
200,0,1,37,172,482,1,2
201,1,0,37,172,482,1,2
202,1,1,37,172,482,1,2
203,0,1,37,172,482,1,2
204,1,0,37,172,482,1,2
205,1,1,37,172,482,1,2
206,0,1,37,172,482,1,2
207,1,0,37,172,482,1,2
208,1,1,37,172,482,1,2
209,0,1,37,172,482,1,2
210,1,0,37,172,482,1,2
211,1,1,37,172,482,1,2
212,0,1,37,172,482,1,2
213,1,0,37,172,482,1,2
214,1,1,37,172,482,1,2
215,0,1,37,172,482,1,2
216,1,0,37,172,482,1,2
217,1,1,37,172,482,1,2
218,0,1,37,172,482,1,2
219,1,0,37,172,482,1,2
220,1,1,37,172,482,1,2
221,0,1,37,172,482,1,2
222,1,0,37,172,482,1,2
223,1,1,37,172,482,1,2
224,0,1,37,172,482,1,2
225,1,0,37,172,482,1,2
226,1,1,37,172,482,1,2
227,0,1,37,172,482,1,2
228,1,0,37,172,482,1,2
229,1,1,37,172,482,1,2
230,0,1,37,172,482,1,2
231,1,0,37,172,482,1,2
232,1,1,37,172,482,1,2
233,0,1,37,172,482,1,2
234,1,0,37,172,482,1,2
235,1,1,37,172,482,1,2
236,0,1,37,172,482,1,2
237,1,0,37,172,482,1,2
238,1,1,37,172,482,1,2
239,0,1,37,172,482,1,2
240,1,0,37,172,482,1,2
241,1,1,37,172,482,1,2
242,0,1,37,172,482,1,2
