source,definition,n_window,L_eff,T_nat,shuf_mean,shuf_std,z,p_ge,n_distinct
v3.13,A,20,,,,,2.2900,,
v3.13,A,33,,,,,2.5900,,
v3.13,A,50,,,,,2.9000,,
v3.13,A,70,,,,,2.5800,,
v3.13,A,90,,,,,3.6100,,
v3.13,A,100,,,,,3.2100,,
v3.13,C,20,,,,,2.1400,,
v3.13,C,33,,,,,2.4500,,
v3.13,C,50,,,,,2.7500,,
v3.13,C,70,,,,,2.7100,,
v3.13,C,90,,,,,3.3300,,
v3.13,C,100,,,,,3.0800,,
v3.14_anchor,C,100,99,28,10.4580,5.6992,3.0780,0.0040,32
v3.14_NEW,A,500,500,72,25.9540,13.2194,3.4832,0.0010,67
v3.14_NEW,C,500,499,71,25.8950,13.3808,3.3709,0.0010,70
v3.14_NEW,A,1000,1000,141,32.5340,19.0370,5.6976,0.0000,90
v3.14_NEW,C,1000,999,140,32.6800,19.2694,5.5695,0.0000,91
