definition,n,L_eff,T_nat,shuf_mean,shuf_std,z,z_over_sqrtn,p_ge
A,100,100,29,10.455000,5.770552,3.213730,0.321373,0.003000
A,200,200,44,12.159000,7.983574,3.988314,0.282016,0.000000
A,300,300,52,16.774000,10.343496,3.405618,0.196623,0.002000
A,500,500,72,25.954000,13.219404,3.483213,0.155774,0.001000
A,750,750,113,33.263000,17.385629,4.586374,0.167471,0.000000
A,1000,1000,141,32.534000,19.036997,5.697642,0.180175,0.000000
C,100,99,28,10.458000,5.699186,3.077984,0.307798,0.004000
C,200,199,43,12.745000,7.959355,3.801188,0.268785,0.000000
C,300,299,51,16.765000,10.144293,3.374804,0.194844,0.001000
C,500,499,71,25.895000,13.380771,3.370882,0.150750,0.001000
C,750,749,112,32.191000,17.203095,4.639223,0.169400,0.000000
C,1000,999,140,32.680000,19.269377,5.569459,0.176122,0.000000
