definition,window_removed,alpha,se,r2,delta_from_full
C,100,0.248756,0.127540,0.559092,+0.036257
C,200,0.235073,0.086412,0.711549,+0.022574
C,300,0.206297,0.083109,0.672544,-0.006202
C,500,0.235272,0.055615,0.856431,+0.022774
C,750,0.206072,0.097487,0.598304,-0.006427
C,1000,0.141326,0.082853,0.492349,-0.071173
A,100,0.230831,0.131872,0.505273,+0.034607
A,200,0.221903,0.087062,0.684091,+0.025679
A,300,0.188914,0.083450,0.630761,-0.007310
A,500,0.217487,0.065237,0.787450,+0.021263
A,750,0.196529,0.100863,0.558599,+0.000305
A,1000,0.117535,0.080460,0.415648,-0.078689
